T,H,CLE,Confirmed,DI,GA,MT,New Cases,TJ,State,Date,ON,Rt
31.27,3,0,1,0,0,0,0,0,Tamil Nadu,15/03/2020,0,5.0
32.33,2,0,1,0,1,0,0,0,Tamil Nadu,16/03/2020,0,5.0
32.0,3,0,1,0,1,0,0,0,Tamil Nadu,17/03/2020,0,5.0
31.47,3,0,1,0,1,0,0,0,Tamil Nadu,18/03/2020,0,5.0
32.6,2,0,1,0,1,0,1,0,Tamil Nadu,19/03/2020,0,10.0
32.0,3,0,1,0,1,0,1,0,Tamil Nadu,20/03/2020,0,13.8368902327063
32.2,3,0,1,0,1,0,0,0,Tamil Nadu,21/03/2020,0,8.51383000187516
31.73,3,0,1,0,1,0,1,1,Tamil Nadu,22/03/2020,0,10.5061339060539
31.53,3,0,1,0,1,0,1,1,Tamil Nadu,23/03/2020,0,8.00438766691691
31.13,3,0,1,0,1,0,1,1,Tamil Nadu,24/03/2020,0,7.547008597426291
31.4,3,0,1,0,1,0,1,1,Tamil Nadu,25/03/2020,0,5.32498733433647
31.4,2,0,1,0,1,0,1,1,Tamil Nadu,26/03/2020,0,4.53855408500283
31.87,2,0,1,0,1,0,1,1,Tamil Nadu,27/03/2020,0,3.250402451486
31.2,3,0,1,0,1,0,1,1,Tamil Nadu,28/03/2020,0,3.2235911780139204
31.2,2,0,1,0,1,0,1,1,Tamil Nadu,29/03/2020,0,2.73813790053852
32.13,2,0,1,0,1,0,1,1,Tamil Nadu,30/03/2020,0,2.89201328963684
31.73,3,0,1,0,1,0,1,1,Tamil Nadu,31/03/2020,0,2.31134172559093
33.0,2,0,1,0,1,0,1,1,Tamil Nadu,01/04/2020,0,6.61646880002047
33.13,2,0,1,0,1,0,0,1,Tamil Nadu,02/04/2020,0,4.90736779352982
32.73,3,0,1,0,1,0,1,1,Tamil Nadu,03/04/2020,0,4.179624971155491
32.4,2,0,1,0,1,0,1,1,Tamil Nadu,04/04/2020,0,3.62037879572066
32.93,3,0,1,0,1,0,1,1,Tamil Nadu,05/04/2020,0,3.00980044131142
33.33,3,0,1,0,1,0,1,1,Tamil Nadu,06/04/2020,0,2.56854165849304
33.2,3,0,1,0,1,0,1,1,Tamil Nadu,07/04/2020,0,2.14569958421726
32.87,3,0,1,0,1,0,1,1,Tamil Nadu,08/04/2020,0,1.4365543701625
32.73,3,0,1,0,1,0,1,1,Tamil Nadu,09/04/2020,0,1.33591275013039
