date,flights_arrived,passengers,positive_cases,Rt_mean
24-07-20,2329,157882,477,2.0089661
25-07-20,2379,160892,482,1.556470153
26-07-20,2425,165068,506,1.282881262
28-07-20,2518,172063,546,1.114399266
29-07-20,2557,175172,549,0.998632156
30-07-20,2603,178540,575,0.938276572
31-07-20,2647,182145,576,0.927304831
01-08-20,2694,186271,603,0.93512518
02-08-20,2738,190551,614,0.949439251
03-08-20,2785,194104,623,0.966909037
04-08-20,2834,198320,633,0.986470088
05-08-20,2877,202403,653,1.014198859
06-08-20,2920,206687,675,1.035073246
07-08-20,2968,212107,677,1.039358451
08-08-20,3017,217290,683,1.033161349
09-08-20,3069,222420,690,1.026838034
10-08-20,3117,227175,701,1.012127698
11-08-20,3173,233037,709,1.003147367
13-08-20,3276,243523,726,1.003414469
14-08-20,3329,248841,735,1.005456547
15-08-20,3388,255155,747,1.006882397
16-08-20,3441,260177,748,1.008433128
18-08-20,3560,272188,752,1.007912468
19-08-20,3614,277707,755,1.013271084
21-08-20,3728,289694,765,1.024977544
22-08-20,3788,295827,765,1.03452359
23-08-20,3848,302220,779,1.029559733
26-08-20,4059,320910,798,1.022133998
27-08-20,4115,328023,808,1.016344156
28-08-20,4164,333354,814,1.008879542
29-08-20,4221,340834,820,1.004553863
30-08-20,4281,348029,827,0.988597648
31-08-20,4342,354286,833,0.966157275
01-09-20,4405,361124,843,0.957419664
02-09-20,4467,368507,854,0.952673484
03-09-20,4535,376788,862,0.94870286
04-09-20,4604,385360,868,0.954691503
07-09-20,4821,411549,878,0.958031368
09-09-20,4973,428195,879,0.964773831
10-09-20,5055,436818,880,0.97310467
11-09-20,5138,445726,882,0.979856863
12-09-20,5225,453635,884,0.986011795
14-09-20,5394,471168,894,0.986892871
15-09-20,5491,481061,899,0.979764442
16-09-20,5563,488727,904,0.973151279
17-09-20,5656,498030,905,0.977720874
18-09-20,5740,505529,909,0.985542603
20-09-20,5925,522717,924,0.998261544
21-09-20,6013,532366,926,1.003818611
22-09-20,6109,541828,927,1.010557027
23-09-20,6184,548862,928,1.018528853
24-09-20,6262,557027,934,1.026071479
25-09-20,6345,565004,941,1.020184372
27-09-20,6543,585902,943,1.014000791
28-09-20,6633,596110,943,1.001622357
29-09-20,6729,606611,944,0.993305683
30-09-20,6804,613974,950,0.978527535
01-10-20,6898,624419,952,0.973976714
02-10-20,6984,633743,954,0.961867901
03-10-20,7081,646047,960,0.956394922
04-10-20,7164,654506,965,0.947554506
05-10-20,7252,664731,968,0.940063597
06-10-20,7347,675522,968,0.930770541
07-10-20,7426,683979,975,0.927402855
08-10-20,7467,694458,979,0.912401488
09-10-20,7604,704056,980,0.90742156
11-10-20,7785,724109,981,0.898603295
12-10-20,7874,734440,982,0.884926437
13-10-20,7971,745259,982,0.864934668
14-10-20,8055,753458,982,0.839041025
15-10-20,8149,764297,982,0.820313065
16-10-20,8294,781271,982,0.805025504
17-10-20,8395,793855,982,0.786859935
18-10-20,8502,804751,982,0.772014227
19-10-20,8601,816558,982,0.765422309
20-10-20,8703,827675,982,0.766606631
22-10-20,8912,848276,982,0.785265125
23-10-20,9026,857224,982,0.810542883
24-10-20,9144,867071,982,0.832966389
25-10-20,9248,874915,982,0.854469735
26-10-20,9362,886199,982,0.871460308
27-10-20,9479,896495,982,0.890490391
28-10-20,9582,905128,982,0.912814209
29-10-20,9701,914971,982,0.934711734
30-10-20,9818,923479,982,0.937824874
31-10-20,9937,934224,982,0.939971183
01-11-20,10053,944841,982,0.943310275
02-11-20,10172,957509,982,0.945790919
03-11-20,10292,968823,982,0.94467345
04-11-20,10401,978076,982,0.939216105
05-11-20,10522,988943,982,0.932656149
06-11-20,10639,998325,982,0.930460191
07-11-20,10766,1009100,982,0.917518477
08-11-20,10888,1019997,982,0.893808179
09-11-20,11015,1032153,982,0.866902141
10-11-20,11134,1042862,982,0.851036496
11-11-20,11253,1053223,982,0.845420028
12-11-20,11385,1065704,982,0.839020913
13-11-20,11869,1133157,982,0.836858787
16-11-20,12213,1161241,986,0.846612883
17-11-20,12342,1173402,986,0.870124502
18-11-20,12460,1183244,989,0.893573318
19-11-20,12583,1194437,990,0.90727126
20-11-20,12705,1204044,992,0.911030811
21-11-20,12828,1214906,993,0.910314967
22-11-20,12943,1224832,993,0.908422371
23-11-20,13062,1237833,997,0.909009939
24-11-20,13190,1250656,998,0.90748179
25-11-20,13304,1260948,998,0.9139449
26-11-20,13389,1270851,999,0.921376867
27-11-20,13467,1279266,999,0.929956412
28-11-20,13592,1291316,999,0.934854979
29-11-20,13720,1303550,999,0.938352709
01-12-20,13966,1329876,1000,0.930060295
02-12-20,14088,1341716,1000,0.925692679
03-12-20,14222,1354813,1004,0.917970513
05-12-20,14469,1378272,1005,0.913775163
06-12-20,14598,1390255,1005,0.913999699
07-12-20,14725,1402666,1005,0.917489948
08-12-20,14865,1415483,1005,0.916194858
09-12-20,14993,1426199,1009,0.921599302
10-12-20,15134,1441066,1012,0.931758462
11-12-20,15265,1454981,1013,0.938102138
12-12-20,15402,1469094,1014,0.940313895
13-12-20,15531,1483835,1012,0.941254778
14-12-20,15656,1498600,1015,0.938740967
15-12-20,15790,1513046,1016,0.93992222
17-12-20,16053,1538410,1017,0.943965176
18-12-20,16186,1550534,1020,0.938980589
19-12-20,16326,1563620,1022,0.937365951
20-12-20,16463,1577550,1022,0.93560665
21-12-20,16595,1592370,1022,0.934535485
22-12-20,16742,1606509,1024,0.938769746
23-12-20,16876,1618464,1024,0.939328455
24-12-20,17023,1632338,1024,0.935915405
25-12-20,17167,1646362,1024,0.935020542
26-12-20,17314,1661251,1024,0.933054258
27-12-20,17447,1673239,1024,0.930833676
28-12-20,17557,1689186,1024,0.92408905
29-12-20,17709,1703313,1024,0.913865376
