,passengers,passengers,passengers,passengers,passengers,passengers,passengers,positive_cases,positive_cases,positive_cases,positive_cases,positive_cases,positive_cases,positive_cases,Rt_mean
travel_mode,airport_domestic,airport_international,grand total,road_bus,road_own,sea_port,train,airport_domestic,airport_international,grand total,road_bus,road_own,sea_port,train,
date,,,,,,,,,,,,,,,
24-07-20,157882,42090,427048,40419,161511,2447,22699,477,769,5100,0,3396,34,424,2.0089661
25-07-20,160892,42509,432041,40451,163043,2447,22699,482,780,5162,0,3442,34,424,1.556470153
26-07-20,165068,43276,439297,40494,164438,2447,23574,506,787,5237,0,3485,34,425,1.282881262
28-07-20,172063,44450,450096,40567,166995,2447,23574,546,799,5338,0,3534,34,425,1.114399266
29-07-20,175172,45216,455638,40619,168610,2447,23574,549,805,5371,0,3558,34,425,0.998632156
30-07-20,178540,46042,462131,40641,170033,2447,24428,575,807,5424,0,3583,34,425,0.938276572
31-07-20,182145,46816,467858,40655,171367,2447,24428,576,813,5455,0,3607,34,425,0.927304831
01-08-20,186271,47624,474659,40691,173198,2447,24428,603,821,5512,0,3629,34,425,0.93512518
02-08-20,190551,48304,481706,40704,174572,2447,25128,614,836,5576,0,3667,34,425,0.949439251
03-08-20,194104,48851,487533,40713,176290,2447,25128,623,842,5608,0,3684,34,425,0.966909037
04-08-20,198320,49336,493510,40729,177550,2447,25128,633,844,5636,0,3699,34,426,0.986470088
05-08-20,202403,49998,499811,40731,179104,2447,25128,653,846,5676,0,3717,34,426,1.014198859
06-08-20,206687,50752,507092,40743,180524,2447,25939,675,852,5718,0,3731,34,426,1.035073246
07-08-20,212107,51367,514931,40764,182307,2447,25939,677,853,5742,0,3752,34,426,1.039358451
08-08-20,217290,52132,522753,40769,184176,2447,25939,683,853,5759,0,3763,34,426,1.033161349
09-08-20,222420,53202,532443,40784,186591,2447,26999,690,860,5779,0,3769,34,426,1.026838034
10-08-20,227175,53840,540175,40796,188918,2447,26999,701,863,5814,0,3790,34,426,1.012127698
11-08-20,233037,54653,548747,40797,190814,2447,26999,709,863,5834,0,3800,34,428,1.003147367
13-08-20,243523,56588,567334,40810,195816,2447,28150,726,867,5886,0,3831,34,428,1.003414469
14-08-20,248841,57697,575823,40814,197874,2447,28150,735,868,5914,0,3849,34,428,1.005456547
15-08-20,255155,58778,587046,40814,200574,2447,29278,747,874,5944,0,3861,34,428,1.006882397
16-08-20,260177,59384,595141,40817,203038,2447,29278,748,875,5976,0,3891,34,428,1.008433128
18-08-20,272188,60881,612410,40820,206796,2447,29278,752,884,6007,0,3909,34,428,1.007912468
19-08-20,277707,61816,621641,40886,209507,2447,29278,755,885,6017,0,3915,34,428,1.013271084
21-08-20,289694,63378,642972,41182,215884,2447,30387,765,891,6068,0,3950,34,428,1.024977544
22-08-20,295827,64399,653460,41184,219216,2447,30387,765,896,6091,0,3968,34,428,1.03452359
23-08-20,302220,65500,665828,41240,222923,2447,31498,779,896,6124,0,3987,34,428,1.029559733
26-08-20,320910,68306,697892,41240,232320,2447,32669,798,899,6179,0,4020,34,428,1.022133998
27-08-20,328023,69352,709455,41296,235668,2447,32669,808,904,6209,0,4035,34,428,1.016344156
28-08-20,333354,70568,719253,41326,238889,2447,32669,814,904,6226,0,4046,34,428,1.008879542
29-08-20,340834,71717,730542,41326,241549,2447,32669,820,910,6252,0,4060,34,428,1.004553863
30-08-20,348029,72491,738669,41326,241707,2447,32669,827,911,6279,0,4079,34,428,0.988597648
31-08-20,354286,73116,748916,41326,245072,2447,32669,833,918,6310,0,4097,34,428,0.966157275
01-09-20,361124,74444,761177,41326,248130,2447,33706,843,919,6341,0,4117,34,428,0.957419664
02-09-20,368507,74743,772721,41326,250878,2447,34820,854,921,6369,0,4132,34,428,0.952673484
03-09-20,376788,75768,785402,41326,254253,2447,34820,862,921,6406,0,4161,34,428,0.94870286
04-09-20,385360,76203,797854,41326,257698,2447,34820,868,921,6431,0,4180,34,428,0.954691503
07-09-20,411549,78366,837656,41388,268532,2447,35374,878,922,6457,0,4195,34,428,0.958031368
09-09-20,428195,79504,860527,41388,273619,2447,35374,879,922,6467,0,4204,34,428,0.964773831
10-09-20,436818,80186,873861,41388,277648,2447,35374,880,922,6473,0,4209,34,428,0.97310467
11-09-20,445726,80968,885777,41388,279874,2447,35374,882,922,6478,0,4212,34,428,0.979856863
12-09-20,453635,81781,896778,41388,282153,2447,35374,884,922,6483,0,4215,34,428,0.986011795
14-09-20,471168,82328,919827,41388,287122,2447,35374,894,922,6500,0,4222,34,428,0.986892871
15-09-20,481061,83036,932892,41388,289586,2447,35374,899,924,6510,0,4225,34,428,0.979764442
16-09-20,488727,83508,943029,41388,291585,2447,35374,904,924,6517,0,4227,34,428,0.973151279
17-09-20,498030,84026,954849,41388,293584,2447,35374,904,924,6521,0,4231,34,428,0.977720874
18-09-20,505529,84869,964835,41388,295228,2447,35374,909,924,6532,0,4237,34,428,0.985542603
20-09-20,522717,86009,986506,41388,298571,2447,35374,924,924,6552,0,4242,34,428,0.998261544
21-09-20,532366,86382,997620,41388,299663,2447,35374,926,924,6555,0,4243,34,428,1.003818611
22-09-20,541828,86669,1008780,41388,301074,2447,35374,927,924,6558,0,4245,34,428,1.010557027
23-09-20,548862,87019,1017589,41388,302499,2447,35374,928,924,6564,0,4250,34,428,1.018528853
24-09-20,557027,87337,1026960,41388,303387,2447,35374,934,924,6577,0,4257,34,428,1.026071479
25-09-20,565004,88223,1036951,41388,304515,2447,35374,941,924,6585,0,4258,34,428,1.020184372
27-09-20,585902,89529,1061115,41388,306475,2447,35374,943,924,6592,0,4263,34,428,1.014000791
28-09-20,596110,90102,1073122,41388,307701,2447,35374,943,924,6604,0,4275,34,428,1.001622357
29-09-20,606611,90479,1085184,41406,308867,2447,35374,944,924,6613,0,4283,34,428,0.993305683
30-09-20,613974,91087,1094212,41406,309924,2447,35374,950,924,6626,0,4290,34,428,0.978527535
01-10-20,624419,91796,1106035,41406,310593,2447,35374,952,924,6631,0,4293,34,428,0.973976714
02-10-20,633743,92442,1116679,41406,311267,2447,35374,954,924,6638,0,4298,34,428,0.961867901
03-10-20,646047,93027,1131635,41406,313334,2447,35374,960,924,6646,0,4300,34,428,0.956394922
04-10-20,654506,93550,1141356,41406,314073,2447,35374,965,924,6653,0,4302,34,428,0.947554506
05-10-20,664731,94257,1152970,41406,314755,2447,35374,968,924,6660,0,4306,34,428,0.940063597
06-10-20,675522,94633,1165198,41406,315816,2447,35374,968,924,6663,0,4309,34,428,0.930770541
07-10-20,683979,94854,1174751,41406,316691,2447,35374,975,924,6672,0,4311,34,428,0.927402855
08-10-20,694458,95368,1186294,41406,317241,2447,35374,979,924,6681,0,4316,34,428,0.912401488
09-10-20,704056,96070,1197336,41406,317983,2447,35374,980,924,6700,0,4334,34,428,0.90742156
11-10-20,724109,97467,1219538,41416,318725,2447,35374,981,925,6708,0,4340,34,428,0.898603295
