date,trains,passengers,negative_cases,positive_cases,Rt_mean
03-09-20,41,34230,33802,428,0.94870286
04-09-20,41,34230,33802,428,0.954691503
07-09-20,42,35374,34946,428,0.958031368
09-09-20,42,35374,34946,428,0.964773831
10-09-20,42,35374,34946,428,0.97310467
11-09-20,42,35374,34946,428,0.979856863
12-09-20,42,35374,34946,428,0.986011795
14-09-20,42,35374,34946,428,0.986892871
15-09-20,42,35374,34946,428,0.979764442
16-09-20,42,35374,34946,428,0.973151279
17-09-20,42,35374,34946,428,0.977720874
18-09-20,42,35374,34946,428,0.985542603
20-09-20,42,35374,34946,428,0.998261544
21-09-20,42,35374,34946,428,1.003818611
22-09-20,42,35374,34946,428,1.010557027
23-09-20,42,35374,34946,428,1.018528853
24-09-20,42,35374,34946,428,1.026071479
25-09-20,42,35374,34946,428,1.020184372
27-09-20,42,35374,34946,428,1.014000791
28-09-20,42,35374,34946,428,1.001622357
29-09-20,42,35374,34946,428,0.993305683
30-09-20,42,35374,34946,428,0.978527535
01-10-20,42,35374,34946,428,0.973976714
02-10-20,42,35374,34946,428,0.961867901
03-10-20,42,35374,34946,428,0.956394922
04-10-20,42,35374,34946,428,0.947554506
05-10-20,42,35374,34946,428,0.940063597
06-10-20,42,35374,34946,428,0.930770541
07-10-20,42,35374,34946,428,0.927402855
08-10-20,42,35374,34946,428,0.912401488
09-10-20,42,35374,34946,428,0.90742156
11-10-20,42,35374,34946,428,0.898603295
12-10-20,42,35374,34946,428,0.884926437
13-10-20,42,35374,34946,428,0.864934668
14-10-20,42,35374,34946,428,0.839041025
15-10-20,42,35374,34946,428,0.820313065
16-10-20,42,35374,34946,428,0.805025504
17-10-20,42,35374,34946,428,0.786859935
18-10-20,42,35374,34946,428,0.772014227
19-10-20,42,35374,34946,428,0.765422309
20-10-20,42,35374,34946,428,0.766606631
22-10-20,42,35374,34946,428,0.785265125
23-10-20,42,35374,34946,428,0.810542883
24-10-20,42,35374,34946,428,0.832966389
25-10-20,42,35374,34946,428,0.854469735
26-10-20,42,35374,34946,428,0.871460308
27-10-20,42,35374,34946,428,0.890490391
28-10-20,42,35374,34946,428,0.912814209
29-10-20,42,35374,34946,428,0.934711734
30-10-20,42,35374,34946,428,0.937824874
31-10-20,42,35374,34946,428,0.939971183
01-11-20,42,35374,34946,428,0.943310275
02-11-20,42,35374,34946,428,0.945790919
03-11-20,42,35374,34946,428,0.94467345
04-11-20,42,35374,34946,428,0.939216105
05-11-20,42,35374,34946,428,0.932656149
06-11-20,42,35374,34946,428,0.930460191
07-11-20,42,35374,34946,428,0.917518477
08-11-20,42,35374,34946,428,0.893808179
09-11-20,42,35374,34946,428,0.866902141
10-11-20,42,35374,34946,428,0.851036496
11-11-20,42,35374,34946,428,0.845420028
12-11-20,42,35374,34946,428,0.839020913
13-11-20,42,35374,34946,428,0.836858787
16-11-20,42,35374,34946,428,0.846612883
17-11-20,42,35374,34946,428,0.870124502
18-11-20,42,35374,34946,428,0.893573318
19-11-20,42,35374,34946,428,0.90727126
20-11-20,42,35374,34946,428,0.911030811
21-11-20,42,35374,34946,428,0.910314967
22-11-20,42,35374,34946,428,0.908422371
23-11-20,42,35374,34946,428,0.909009939
24-11-20,42,35374,34946,428,0.90748179
25-11-20,42,35374,34946,428,0.9139449
26-11-20,42,35374,34946,428,0.921376867
27-11-20,42,35374,34946,428,0.929956412
28-11-20,42,35374,34946,428,0.934854979
29-11-20,42,35374,34946,428,0.938352709
01-12-20,42,35374,34946,428,0.930060295
02-12-20,42,35374,34946,428,0.925692679
03-12-20,42,35374,34946,428,0.917970513
05-12-20,42,35374,34946,428,0.913775163
06-12-20,42,35374,34946,428,0.913999699
07-12-20,42,35374,34946,428,0.917489948
08-12-20,42,35374,34946,428,0.916194858
09-12-20,42,35374,34946,428,0.921599302
10-12-20,42,35374,34946,428,0.931758462
11-12-20,42,35374,34946,428,0.938102138
12-12-20,42,35374,34946,428,0.940313895
13-12-20,42,35374,34946,428,0.941254778
14-12-20,42,35374,34946,428,0.938740967
15-12-20,42,35374,34946,428,0.93992222
17-12-20,42,35374,34946,428,0.943965176
18-12-20,42,35374,34946,428,0.938980589
19-12-20,42,35374,34946,428,0.937365951
20-12-20,42,35374,34946,428,0.93560665
21-12-20,42,35374,34946,428,0.934535485
22-12-20,42,35374,34946,428,0.938769746
23-12-20,42,35374,34946,428,0.939328455
24-12-20,42,35374,34946,428,0.935915405
25-12-20,42,35374,34946,428,0.935020542
26-12-20,42,35374,34946,428,0.933054258
27-12-20,42,35374,34946,428,0.930833676
28-12-20,42,35374,34946,428,0.92408905
29-12-20,42,35374,34946,428,0.913865376
30-12-20,42,35374,34946,428,0.90849755
31-12-20,42,35374,34946,428,0.904780972
01-01-21,42,35374,34946,428,0.902425158
03-01-21,42,35374,34946,428,0.900768484
04-01-21,42,35374,34946,428,0.896421903
06-01-21,42,35374,34946,428,0.892873006
07-01-21,42,35374,34946,428,0.887212459
08-01-21,42,35374,34946,428,0.882794679
09-01-21,42,35374,34946,428,0.880531802
10-01-21,42,35374,34946,428,0.878224266
11-01-21,42,35374,34946,428,0.870644104
12-01-21,42,35374,34946,428,0.86597172
13-01-21,42,35374,34946,428,0.864445584
14-01-21,42,35374,34946,428,0.864006887
15-01-21,42,35374,34946,428,0.864055034
16-01-21,42,35374,34946,428,0.874226513
17-01-21,42,35374,34946,428,0.88106512
19-01-21,42,35374,34946,428,0.898833688
21-01-21,42,35374,34946,428,0.913707118
22-01-21,42,35374,34946,428,0.924057074
23-01-21,42,35374,34946,428,0.936139735
24-01-21,42,35374,34946,428,0.944829224
25-01-21,42,35374,34946,428,0.935886084
26-01-21,42,35374,34946,428,0.931707419
27-01-21,42,35374,34946,428,0.923371319
28-01-21,42,35374,34946,428,0.920935049
29-01-21,42,35374,34946,428,0.925632362
31-01-21,42,35374,34946,428,0.937775303
01-02-21,42,35374,34946,428,0.953745724
02-02-21,42,35374,34946,428,0.965087402
03-02-21,42,35374,34946,428,0.97055181
04-02-21,42,35374,34946,428,0.970998865
05-02-21,42,35374,34946,428,0.967152441
06-02-21,42,35374,34946,428,0.962417232
07-02-21,42,35374,34946,428,0.957176379
08-02-21,42,35374,34946,428,0.954458492
09-02-21,42,35374,34946,428,0.959011749
10-02-21,42,35374,34946,428,0.966301217
11-02-21,42,35374,34946,428,0.975105216
12-02-21,42,35374,34946,428,0.982438122
13-02-21,42,35374,34946,428,0.985703881
14-02-21,42,35374,34946,428,0.984632462
15-02-21,42,35374,34946,428,0.980416885
16-02-21,42,35374,34946,428,0.976317004
17-02-21,42,35374,34946,428,0.96944622
18-02-21,42,35374,34946,428,0.96221062
19-02-21,42,35374,34946,428,0.962490636
21-02-21,42,35374,34946,428,0.96774227
22-02-21,42,35374,34946,428,0.972648767
23-02-21,42,35374,34946,428,0.982639523
24-02-21,42,35374,34946,428,0.991875421
25-02-21,42,35374,34946,428,1.006715259
26-02-21,42,35374,34946,428,1.024270358
27-02-21,42,35374,34946,428,1.032453899
28-02-21,42,35374,34946,428,1.036661569
02-03-21,42,35374,34946,428,1.036703001
03-03-21,42,35374,34946,428,1.037274271
04-03-21,42,35374,34946,428,1.034038374
05-03-21,42,35374,34946,428,1.045206688
06-03-21,42,35374,34946,428,1.060559196
07-03-21,42,35374,34946,428,1.078036471
08-03-21,42,35374,34946,428,1.090465097
09-03-21,42,35374,34946,428,1.10617907
10-03-21,42,35374,34946,428,1.139482682
11-03-21,42,35374,34946,428,1.17352453
12-03-21,42,35374,34946,428,1.178760241
13-03-21,42,35374,34946,428,1.177673235
14-03-21,42,35374,34946,428,1.187004771
15-03-21,42,35374,34946,428,1.215509202
16-03-21,42,35374,34946,428,1.243611766
17-03-21,42,35374,34946,428,1.258028021
18-03-21,42,35374,34946,428,1.269840152
19-03-21,42,35374,34946,428,1.297259579
20-03-21,42,35374,34946,428,1.341970857
21-03-21,42,35374,34946,428,1.3702531
22-03-21,42,35374,34946,428,1.386461844
23-03-21,42,35374,34946,428,1.391509368
24-03-21,42,35374,34946,428,1.404139789
25-03-21,42,35374,34946,428,1.420801087
26-03-21,42,35374,34946,428,1.438842433
27-03-21,42,35374,34946,428,1.43910904
28-03-21,42,35374,34946,428,1.434814588
29-03-21,42,35374,34946,428,1.420399148
30-03-21,42,35374,34946,428,1.401742816
31-03-21,42,35374,34946,428,1.383858617
01-04-21,42,35374,34946,428,1.372779101
02-04-21,42,35374,34946,428,1.382240818
03-04-21,42,35374,34946,428,1.389378621
04-04-21,42,35374,34946,428,1.391040728
05-04-21,42,35374,34946,428,1.384854472
06-04-21,42,35374,34946,428,1.366824359
07-04-21,42,35374,34946,428,1.351408246
08-04-21,42,35374,34946,428,1.337409358
09-04-21,42,35374,34946,428,1.356420806
10-04-21,42,35374,34946,428,1.388101817
11-04-21,42,35374,34946,428,1.429833988
12-04-21,42,35374,34946,428,1.454146627
13-04-21,42,35374,34946,428,1.470716829
14-04-21,42,35374,34946,428,1.486615496
