date,seaport,ships_arrived,passengers,positive_cases,Rt_mean
23-07-20,total,6,2447,34,2.0089661
24-07-20,total,6,2447,34,1.556470153
25-07-20,total,6,2447,34,1.282881262
26-07-20,total,6,2447,34,1.114399266
28-07-20,total,6,2447,34,0.998632156
29-07-20,total,6,2447,34,0.938276572
30-07-20,total,6,2447,34,0.927304831
31-07-20,total,6,2447,34,0.93512518
01-08-20,total,6,2447,34,0.949439251
02-08-20,total,6,2447,34,0.966909037
03-08-20,total,6,2447,34,0.986470088
04-08-20,total,6,2447,34,1.014198859
05-08-20,total,6,2447,34,1.035073246
06-08-20,total,6,2447,34,1.039358451
07-08-20,total,6,2447,34,1.033161349
08-08-20,total,6,2447,34,1.026838034
09-08-20,total,6,2447,34,1.012127698
10-08-20,total,6,2447,34,1.003147367
11-08-20,total,6,2447,34,1.003414469
13-08-20,total,6,2447,34,1.005456547
14-08-20,total,6,2447,34,1.006882397
15-08-20,total,6,2447,34,1.008433128
16-08-20,total,6,2447,34,1.007912468
18-08-20,total,6,2447,34,1.013271084
19-08-20,total,6,2447,34,1.024977544
21-08-20,total,6,2447,34,1.03452359
22-08-20,total,6,2447,34,1.029559733
23-08-20,total,6,2447,34,1.022133998
26-08-20,total,6,2447,34,1.016344156
27-08-20,total,6,2447,34,1.008879542
28-08-20,total,6,2447,34,1.004553863
29-08-20,total,6,2447,34,0.988597648
30-08-20,total,6,2447,34,0.966157275
31-08-20,total,6,2447,34,0.957419664
01-09-20,total,6,2447,34,0.952673484
02-09-20,total,6,2447,34,0.94870286
03-09-20,total,6,2447,34,0.954691503
04-09-20,total,6,2447,34,0.958031368
07-09-20,total,6,2447,34,0.964773831
09-09-20,total,6,2447,34,0.97310467
10-09-20,total,6,2447,34,0.979856863
11-09-20,total,6,2447,34,0.986011795
12-09-20,total,6,2447,34,0.986892871
14-09-20,total,6,2447,34,0.979764442
15-09-20,total,6,2447,34,0.973151279
16-09-20,total,6,2447,34,0.977720874
17-09-20,total,6,2447,34,0.985542603
18-09-20,total,6,2447,34,0.998261544
20-09-20,total,6,2447,34,1.003818611
21-09-20,total,6,2447,34,1.010557027
22-09-20,total,6,2447,34,1.018528853
23-09-20,total,6,2447,34,1.026071479
24-09-20,total,6,2447,34,1.020184372
25-09-20,total,6,2447,34,1.014000791
27-09-20,total,6,2447,34,1.001622357
28-09-20,total,6,2447,34,0.993305683
29-09-20,total,6,2447,34,0.978527535
30-09-20,total,6,2447,34,0.973976714
