dates,I
10/03/2020,3
11/03/2020,3
12/03/2020,3
13/03/2020,3
14/03/2020,0
15/03/2020,18
16/03/2020,0
17/03/2020,7
18/03/2020,3
19/03/2020,5
20/03/2020,5
21/03/2020,11
22/03/2020,4
23/03/2020,7
24/03/2020,15
25/03/2020,39
26/03/2020,1
27/03/2020,1
28/03/2020,50
29/03/2020,6
30/03/2020,12
31/03/2020,18
01/04/2020,86
02/04/2020,33
03/04/2020,0
04/04/2020,155
05/04/2020,0
06/04/2020,258
07/04/2020,120
08/04/2020,150
09/04/2020,117
10/04/2020,229
11/04/2020,210
12/04/2020,187
13/04/2020,224
14/04/2020,352
15/04/2020,350
16/04/2020,232
17/04/2020,286
18/04/2020,118
19/04/2020,328
20/04/2020,552
21/04/2020,466
22/04/2020,552
23/04/2020,431
24/04/2020,778
25/04/2020,387
26/04/2020,811
27/04/2020,440
28/04/2020,522
29/04/2020,728
30/04/2020,597
01/05/2020,583
02/05/2020,1008
03/05/2020,790
04/05/2020,678
05/05/2020,1567
06/05/2020,984
07/05/2020,1233
08/05/2020,1216
09/05/2020,1089
10/05/2020,1165
11/05/2020,1943
12/05/2020,1230
13/05/2020,1026
14/05/2020,1495
15/05/2020,1602
16/05/2020,1576
17/05/2020,1606
18/05/2020,2347
19/05/2020,2005
20/05/2020,2078
21/05/2020,2161
22/05/2020,2345
23/05/2020,2940
24/05/2020,2608
25/05/2020,3041
26/05/2020,2436
27/05/2020,2091
28/05/2020,2190
29/05/2020,2598
30/05/2020,2682
31/05/2020,2940
01/06/2020,2487
02/06/2020,2358
03/06/2020,2287
04/06/2020,2560
05/06/2020,2933
06/06/2020,2436
07/06/2020,2739
08/06/2020,3007
09/06/2020,2553
10/06/2020,2259
11/06/2020,3254
12/06/2020,3607
13/06/2020,3493
14/06/2020,3427
15/06/2020,3390
16/06/2020,2786
17/06/2020,2701
18/06/2020,3307
19/06/2020,3752
20/06/2020,3827
21/06/2020,3874
22/06/2020,3870
23/06/2020,3721
24/06/2020,3214
25/06/2020,3890
26/06/2020,4841
27/06/2020,5024
28/06/2020,6368
29/06/2020,5493
30/06/2020,5257
01/07/2020,4878
02/07/2020,5537
03/07/2020,6328
04/07/2020,6364
05/07/2020,7074
06/07/2020,6555
07/07/2020,5368
08/07/2020,5134
09/07/2020,6603
10/07/2020,6875
11/07/2020,7862
12/07/2020,8139
13/07/2020,7827
14/07/2020,6497
15/07/2020,6741
16/07/2020,7975
17/07/2020,8641
18/07/2020,8308
19/07/2020,8348
20/07/2020,9518
21/07/2020,8240
22/07/2020,8336
23/07/2020,10576
24/07/2020,9895
25/07/2020,9615
26/07/2020,9251
27/07/2020,9431
28/07/2020,7924
29/07/2020,7717
30/07/2020,9211
31/07/2020,11147
01/08/2020,10320
02/08/2020,9601
03/08/2020,9509
04/08/2020,8968
05/08/2020,7760
06/08/2020,10309
07/08/2020,11514
08/08/2020,10483
09/08/2020,12822
10/08/2020,12248
11/08/2020,9181
12/08/2020,11088
13/08/2020,12712
14/08/2020,11813
15/08/2020,12608
16/08/2020,12020
17/08/2020,11111
18/08/2020,8493
19/08/2020,11119
20/08/2020,13165
21/08/2020,14647
22/08/2020,14161
23/08/2020,14492
24/08/2020,10441
25/08/2020,11015
26/08/2020,10425
27/08/2020,14888
28/08/2020,14857
29/08/2020,14427
30/08/2020,16286
31/08/2020,16408
01/09/2020,11852
02/09/2020,15765
03/09/2020,17433
04/09/2020,18105
05/09/2020,19218
06/09/2020,20800
07/09/2020,23350
08/09/2020,16429
09/09/2020,20131
10/09/2020,23577
11/09/2020,23446
12/09/2020,24886
13/09/2020,22084
14/09/2020,22543
15/09/2020,17066
16/09/2020,20482
17/09/2020,23365
18/09/2020,24619
19/09/2020,21656
20/09/2020,20519
21/09/2020,20627
22/09/2020,15738
23/09/2020,18390
24/09/2020,21029
25/09/2020,19164
26/09/2020,17794
27/09/2020,20419
28/09/2020,18056
29/09/2020,11921
30/09/2020,14976
01/10/2020,18317
02/10/2020,16476
03/10/2020,15591
04/10/2020,14348
05/10/2020,12548
06/10/2020,10244
07/10/2020,12258
08/10/2020,14578
09/10/2020,13395
10/10/2020,12134
11/10/2020,11416
12/10/2020,10792
13/10/2020,7089
14/10/2020,8522
15/10/2020,10552
16/10/2020,10226
17/10/2020,11447
18/10/2020,10259
19/10/2020,9060
20/10/2020,5984
21/10/2020,8151
22/10/2020,8142
23/10/2020,7539
24/10/2020,7347
25/10/2020,6417
26/10/2020,6059
27/10/2020,3645
28/10/2020,5363
29/10/2020,6738
30/10/2020,5902
31/10/2020,6190
01/11/2020,5548
02/11/2020,5369
03/11/2020,4009
04/11/2020,4909
05/11/2020,5505
06/11/2020,5246
07/11/2020,6870
08/11/2020,3959
09/11/2020,5585
10/11/2020,3277
11/11/2020,3791
12/11/2020,4907
13/11/2020,4496
14/11/2020,4132
15/11/2020,4237
16/11/2020,2544
17/11/2020,2535
18/11/2020,2732
19/11/2020,5011
20/11/2020,5535
21/11/2020,5640
22/11/2020,5760
23/11/2020,5753
24/11/2020,4153
25/11/2020,5439
26/11/2020,6159
27/11/2020,6406
28/11/2020,6185
29/11/2020,5965
30/11/2020,5544
01/12/2020,3837
02/12/2020,4930
03/12/2020,3350
04/12/2020,5182
05/12/2020,5229
06/12/2020,4922
07/12/2020,4757
08/12/2020,3075
09/12/2020,4026
10/12/2020,4981
11/12/2020,3824
12/12/2020,4268
13/12/2020,4259
14/12/2020,3717
15/12/2020,2949
16/12/2020,3442
17/12/2020,0
18/12/2020,0
19/12/2020,1960
20/12/2020,3940
21/12/2020,3811
22/12/2020,2834
23/12/2020,3106
24/12/2020,3913
25/12/2020,3580
26/12/2020,3431
27/12/2020,2854
28/12/2020,3314
29/12/2020,2498
30/12/2020,3018
31/12/2020,3537
01/01/2021,3509
02/01/2021,3524
03/01/2021,3218
04/01/2021,3282
05/01/2021,4875
06/01/2021,3160
07/01/2021,4382
08/01/2021,3729
09/01/2021,3693
10/01/2021,3581
11/01/2021,3558
12/01/2021,2438
13/01/2021,2936
14/01/2021,3556
15/01/2021,3579
16/01/2021,3145
17/01/2021,2910
18/01/2021,3081
19/01/2021,1924
20/01/2021,2294
21/01/2021,3015
22/01/2021,2886
23/01/2021,2779
24/01/2021,2697
25/01/2021,2752
26/01/2021,1842
27/01/2021,2405
28/01/2021,2171
29/01/2021,2889
30/01/2021,2771
31/01/2021,2630
01/02/2021,2585
02/02/2021,1948
03/02/2021,1927
04/02/2021,2992
05/02/2021,2736
06/02/2021,2628
07/02/2021,2768
08/02/2021,2673
09/02/2021,2216
10/02/2021,2515
11/02/2021,3451
12/02/2021,652
13/02/2021,3670
14/02/2021,3611
15/02/2021,4092
16/02/2021,3365
17/02/2021,3663
18/02/2021,4787
19/02/2021,5427
20/02/2021,6112
21/02/2021,6281
22/02/2021,6971
23/02/2021,5210
24/02/2021,6218
25/02/2021,8807
26/02/2021,8702
27/02/2021,8333
28/02/2021,8623
01/03/2021,8293
02/03/2021,6397
03/03/2021,7863
04/03/2021,9855
05/03/2021,8998
06/03/2021,10216
07/03/2021,10187
08/03/2021,11141
09/03/2021,8744
10/03/2021,9927
11/03/2021,0
12/03/2021,13659
13/03/2021,30134
14/03/2021,15602
15/03/2021,16620
16/03/2021,15051
17/03/2021,17864
18/03/2021,23179
19/03/2021,25833
20/03/2021,25681
21/03/2021,27126
22/03/2021,30535
23/03/2021,24645
24/03/2021,28699
25/03/2021,31855
26/03/2021,35952
27/03/2021,36902
28/03/2021,35726
29/03/2021,40414
30/03/2021,31643
31/03/2021,27918
01/04/2021,39544
02/04/2021,43183
03/04/2021,47913
04/04/2021,49447
05/04/2021,57074
06/04/2021,47288
07/04/2021,55469
08/04/2021,59907
09/04/2021,56286
10/04/2021,58993
11/04/2021,55411
12/04/2021,63294
13/04/2021,51751
14/04/2021,60212
15/04/2021,58952
16/04/2021,61695
17/04/2021,63729
18/04/2021,67123
19/04/2021,68631
20/04/2021,58924
21/04/2021,62097
22/04/2021,67468
23/04/2021,67013
24/04/2021,66836
25/04/2021,67160
26/04/2021,66191
27/04/2021,48700
28/04/2021,66358
29/04/2021,63309
30/04/2021,66159
01/05/2021,62919
02/05/2021,63282
03/05/2021,56647
04/05/2021,48621
05/05/2021,51880
06/05/2021,57640
07/05/2021,62194
08/05/2021,54022
09/05/2021,56578
10/05/2021,48401
11/05/2021,37236
12/05/2021,40956
13/05/2021,46781
14/05/2021,42582
15/05/2021,39923
16/05/2021,34848
17/05/2021,34389
18/05/2021,26616
19/05/2021,28438
20/05/2021,34031
21/05/2021,29911
22/05/2021,29644
23/05/2021,26133
24/05/2021,26672
25/05/2021,22122
26/05/2021,24136
27/05/2021,24752
28/05/2021,21273
29/05/2021,20740
30/05/2021,20295
31/05/2021,18600
01/06/2021,15077
02/06/2021,14123
03/06/2021,15169
04/06/2021,15229
05/06/2021,14152
06/06/2021,13659
07/06/2021,12557
08/06/2021,10219
09/06/2021,10891
10/06/2021,10989
11/06/2021,12207
12/06/2021,11766
13/06/2021,10697
14/06/2021,10442
15/06/2021,8129
16/06/2021,7652
17/06/2021,10107
18/06/2021,9830
19/06/2021,9798
20/06/2021,8912
21/06/2021,9361
22/06/2021,6270
23/06/2021,8470
24/06/2021,10066
25/06/2021,9844
26/06/2021,9604
27/06/2021,9812
28/06/2021,9974
29/06/2021,6727
30/06/2021,8085
01/07/2021,9771
02/07/2021,9195
03/07/2021,8753
04/07/2021,9489
05/07/2021,9336
06/07/2021,6740
07/07/2021,8418
08/07/2021,9558
09/07/2021,9083
10/07/2021,8992
11/07/2021,8296
12/07/2021,8535
13/07/2021,7603
14/07/2021,7243
15/07/2021,8602
16/07/2021,8010
17/07/2021,7761
18/07/2021,8172
19/07/2021,9000
20/07/2021,6017
22/07/2021,17548
23/07/2021,7302
24/07/2021,6753
25/07/2021,6269
26/07/2021,6843
27/07/2021,4877
28/07/2021,6258
29/07/2021,6857
30/07/2021,7242
