"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,3.0952755820711,0.523197065548935,2.15597285403268,2.28781891398489,4.00312987862228,3.06584720011338,4.00312987862228,4.00312987862228,4.2017563107887
3,9,2.17545218199634,0.367718533514528,1.51528215348502,1.60794750466474,2.81351931301591,2.1547690356835,2.81351931301591,2.81351931301591,2.95311990553228
4,10,1.77020411552116,0.291019763915455,1.24638706167133,1.32021897288827,2.27450815686058,1.75428212530202,2.27450815686058,2.27450815686058,2.38447329175738
5,11,1.55372710620989,0.248795453034311,1.10485185887881,1.16836184037429,1.98432718232155,1.54046775476799,1.98432718232155,1.98432718232155,2.07792949012069
6,12,1.75141480951548,0.247687457695788,1.29993382970365,1.36486819387632,2.17774618862226,1.73975265034235,2.17774618862226,2.17774618862226,2.2691539948983
7,13,1.139868363611,0.189978060601833,0.798349788373124,0.846389194301371,1.46929460126611,1.12933157690918,1.46929460126611,1.46929460126611,1.54124537773507
8,14,1.23214423496607,0.187900234275887,0.891708892330903,0.940201672257365,1.5566264531223,1.22260600439443,1.5566264531223,1.5566264531223,1.62676847845514
9,15,1.3734511711023,0.19232163212795,1.02262460942142,1.07314310190039,1.70434717710671,1.36448487142134,1.70434717710671,1.70434717710671,1.77521975044613
10,16,2.25215389571274,0.24145624219774,1.80388294602685,1.87024569095563,2.66347779285378,2.24353085579812,2.66347779285378,2.66347779285378,2.7494217197256
11,17,2.01074302304925,0.220707719954434,1.60154559398331,1.66199615885734,2.38701731301683,2.00267354072945,2.38701731301683,2.38701731301683,2.46579163927756
12,18,1.64909582773767,0.185537776325524,1.30560469670174,1.3562331226131,1.96567726353669,1.64214286111478,1.96567726353669,1.96567726353669,2.03209374237287
13,19,2.08557356031635,0.191992608338707,1.72628436112299,1.78013638940242,2.41109774132511,2.07968507741126,2.41109774132511,2.41109774132511,2.47832292656637
14,20,1.85408894895234,0.169254390160373,1.53722399844201,1.58474683989101,2.14099105564768,1.8489412529472,2.14099105564768,2.14099105564768,2.20020474057169
15,21,1.67250108133724,0.149593044412479,1.39217516968565,1.43428053421864,1.925928483679,1.66804319900513,1.925928483679,1.925928483679,1.97815820147258
16,22,1.48527583326323,0.131281076704117,1.2391300482919,1.27613289798465,1.70760694032707,1.48140972325553,1.70760694032707,1.70760694032707,1.75339022684197
17,23,1.80356039545893,0.136336350881989,1.54623726942718,1.58531718665714,2.03351826332093,1.80012620804697,2.03351826332093,2.03351826332093,2.08039831298517
18,24,1.93361082185186,0.134395242510953,1.67915691145228,1.71798683903022,2.15985314335944,1.93049800977844,2.15985314335944,2.15985314335944,2.2057535046956
19,25,1.71232088112498,0.119303048894069,1.48646090252258,1.52092281042436,1.91316772079951,1.70955093382601,1.91316772079951,1.91316772079951,1.95392127441322
20,26,2.24831869032477,0.127490456527817,2.00535812263898,2.04280522622892,2.46205067034383,2.24590937651652,2.46205067034383,2.46205067034383,2.5049706327848
21,27,1.92070465055511,0.109979228361675,1.71117447637546,1.74345517760784,2.10511316991824,1.91860592812349,2.10511316991824,2.10511316991824,2.14216119656202
22,28,2.94885068152602,0.125625262625338,2.70773720991642,2.74530252927243,3.15848340616898,2.9470669348069,3.15848340616898,3.15848340616898,3.20010080613048
23,29,2.93638780896209,0.114909734630026,2.71545777416562,2.74996890433529,3.12791924249788,2.93488902326277,3.12791924249788,3.12791924249788,3.16583515448209
24,30,2.55500332891352,0.0954183478313888,2.37138448829389,2.40010595093686,2.71395216240102,2.55381560596922,2.71395216240102,2.71395216240102,2.74537178215179
25,31,2.20982125200798,0.0780801947440488,2.05941643820105,2.08297821333881,2.33980094621537,2.20890171072984,2.33980094621537,2.33980094621537,2.36545166066452
26,32,2.26952312227832,0.0707157251881732,2.1330214821728,2.15447218636034,2.38707927957537,2.26878869104759,2.38707927957537,2.38707927957537,2.41019842334318
