date,testing_facilities,government_testing_facilities,private_testing_facilities,active_cases_yesterday,positive_tested_cases,discharged_patients,deaths_today,active_cases_today,new_active_cases_today
23-07-20,113,58,55,51765,6472,5210,88,52939,1174
24-07-20,114,58,56,52939,6785,6504,88,53132,193
25-07-20,115,58,57,53132,6988,7758,89,52273,0
26-07-20,116,58,58,52273,6986,5471,85,53703,1430
28-07-20,119,58,61,54896,6972,4707,88,57073,2177
29-07-20,119,58,61,57073,6426,5927,82,57490,417
30-07-20,119,58,61,57490,5864,5295,97,57962,472
31-07-20,120,59,61,57962,5881,5778,97,57968,6
01-08-20,121,59,62,57968,5879,7010,99,56738,-1230
02-08-20,122,59,63,56738,5875,5517,98,56998,260
03-08-20,122,59,63,56998,5609,5800,109,56698,-300
04-08-20,125,60,65,56698,5063,6501,108,55152,-1546
05-08-20,125,60,65,55152,5175,6031,112,54184,-968
06-08-20,126,61,65,54184,5684,6272,110,53486,-698
07-08-20,126,61,65,53486,5880,6488,119,52759,-727
08-08-20,129,61,68,52759,5883,5043,118,53481,722
09-08-20,129,61,68,53481,5994,6020,119,53336,-145
10-08-20,130,61,69,53336,5914,6037,114,53099,-237
11-08-20,131,61,70,53099,5834,6005,118,52810,-289
13-08-20,134,61,73,52929,5835,5146,119,53499,570
14-08-20,134,61,73,53499,5890,5556,117,53716,217
15-08-20,135,62,73,53716,5860,5236,127,54213,497
16-08-20,135,62,73,54213,5950,6019,125,54019,-194
18-08-20,136,62,74,54122,5709,5850,121,53860,-262
19-08-20,136,62,74,53860,5795,6384,116,53155,-705
21-08-20,139,63,76,53283,5995,5764,101,53413,130
22-08-20,139,63,76,53413,5980,5603,80,53710,297
23-08-20,139,63,76,53710,5975,6047,97,53541,-169
26-08-20,145,63,82,52128,5958,5606,118,52362,234
27-08-20,146,63,83,52362,5981,5870,109,52364,2
28-08-20,146,63,83,52364,5996,5752,102,52506,142
29-08-20,149,63,86,52506,6352,6045,87,52726,220
30-08-20,149,63,86,52726,6495,6406,94,52721,-5
31-08-20,150,63,87,52721,5956,6008,91,52578,-143
01-09-20,152,63,89,52578,5928,6031,96,52379,-199
02-09-20,154,64,90,52379,5990,5891,98,52380,1
03-09-20,154,64,90,52380,5892,6110,92,52070,-310
04-09-20,155,64,91,52070,5976,6334,79,51633,-437
07-09-20,161,64,97,51458,5776,5930,89,51215,-243
09-09-20,163,64,99,50213,5584,6516,78,49203,-1010
10-09-20,163,64,99,49203,5528,6185,64,48482,-721
11-09-20,165,65,100,48482,5519,6006,77,47918,-564
12-09-20,167,65,102,47918,5495,6227,76,47110,-808
14-09-20,170,65,105,47012,5752,5799,53,46912,-100
15-09-20,170,65,105,46912,5697,5735,68,46806,-106
16-09-20,170,65,105,46806,5652,5768,57,46633,-173
17-09-20,174,66,108,46633,5560,5524,59,46610,-23
18-09-20,175,66,109,46610,5488,5525,67,46506,-104
20-09-20,174,66,108,46453,5516,5206,60,46703,250
21-09-20,174,66,108,46703,5344,5492,60,46495,-208
22-09-20,176,66,110,46495,5337,5406,76,46350,-145
23-09-20,177,66,111,46350,5325,5363,63,46249,-101
24-09-20,178,66,112,46249,5692,5470,66,46405,156
25-09-20,182,66,116,46405,5679,5626,72,46386,-19
27-09-20,182,66,116,46336,5791,5706,80,46341,5
28-09-20,184,66,118,46341,5589,5554,70,46306,-35
29-09-20,186,66,120,46306,5546,5501,70,46281,-25
30-09-20,186,66,120,46281,5659,5610,67,46263,-18
01-10-20,187,66,121,46263,5688,5516,66,46369,106
02-10-20,188,66,122,46369,5595,5603,67,46294,-75
03-10-20,189,66,123,46294,5622,5596,65,46255,-39
04-10-20,189,66,123,46255,5489,5558,66,46120,-135
05-10-20,189,66,123,46120,5395,5572,62,45881,-239
06-10-20,189,66,123,45881,5017,5548,71,45279,-602
07-10-20,190,66,124,45279,5447,5524,67,45135,-144
08-10-20,190,66,124,45135,5088,5718,68,44437,-698
09-10-20,190,66,124,44437,5185,5357,68,44197,-240
11-10-20,191,66,125,44150,5015,5005,65,44095,-55
12-10-20,191,66,125,44095,4879,5165,62,43747,-348
13-10-20,191,66,125,43747,4666,5117,57,43239,-508
14-10-20,192,66,126,43239,4462,5083,52,42566,-673
15-10-20,192,66,126,42566,4410,5055,49,41872,-694
16-10-20,192,66,126,41872,4389,5245,57,40959,-913
17-10-20,192,66,126,40959,4295,5005,57,40192,-767
18-10-20,192,66,126,40192,3914,4929,56,39121,-1071
19-10-20,192,66,126,39121,3536,4515,49,38093,-1028
20-10-20,194,66,128,38093,3094,4403,50,36734,-1359
22-10-20,197,66,131,35480,3077,4314,45,34198,-1282
23-10-20,198,66,132,34198,3057,4262,33,32960,-1238
24-10-20,198,66,132,32960,2886,4024,35,31787,-1173
25-10-20,199,66,133,31787,2869,4019,31,30606,-1181
26-10-20,200,66,134,30606,2708,4014,32,29268,-1338
27-10-20,201,66,135,29268,2522,4029,27,27734,-1534
28-10-20,201,66,135,27734,2516,3859,35,26356,-1378
29-10-20,202,66,136,26356,2652,4087,35,24886,-1470
30-10-20,202,66,136,24886,2608,3924,38,23532,-1354
31-10-20,202,66,136,23532,2511,3848,31,22164,-1368
01-11-20,203,66,137,22164,2504,3644,30,20994,-1170
02-11-20,203,66,137,20994,2481,3940,31,19504,-1490
03-11-20,203,66,137,19504,2435,2707,31,19201,-303
04-11-20,203,66,137,19201,2487,2504,30,19154,-47
05-11-20,203,66,137,19154,2348,2413,28,19061,-93
06-11-20,204,66,138,19061,2370,2402,27,19002,-59
07-11-20,205,66,139,19002,2341,2352,25,18966,-36
08-11-20,206,66,140,18966,2334,2386,20,18894,-72
09-11-20,207,66,141,18894,2257,2308,18,18825,-69
10-11-20,207,66,141,18825,2146,2237,25,18709,-116
11-11-20,207,66,141,18709,2184,2210,28,18655,-54
12-11-20,208,66,142,18655,2112,2347,25,18395,-260
13-11-20,208,66,142,18395,1939,2572,14,17748,-647
16-11-20,210,66,144,16441,1725,2384,17,15765,-676
17-11-20,212,66,146,15765,1652,2314,18,15085,-680
18-11-20,212,66,146,15085,1714,2311,18,14470,-615
19-11-20,213,66,147,14470,1707,2251,19,13907,-563
20-11-20,214,66,148,13907,1688,2173,18,13404,-503
21-11-20,217,67,150,13404,1663,2133,18,12916,-488
22-11-20,217,67,150,12916,1655,2010,19,12542,-374
23-11-20,217,67,150,12542,1624,1904,17,12245,-297
24-11-20,217,67,150,12245,1557,1910,17,11875,-370
25-11-20,218,67,151,11875,1534,1873,16,11520,-355
26-11-20,219,67,152,11520,1464,1797,14,11173,-347
27-11-20,220,67,153,11173,1442,1494,12,11109,-64
28-11-20,220,67,153,11109,1430,1453,13,11073,-36
29-11-20,220,67,153,11073,1459,1471,9,11052,-21
01-12-20,221,67,154,10997,1404,1411,10,10980,-17
02-12-20,221,67,154,10980,1428,1398,11,10999,19
03-12-20,224,67,157,10999,1416,1413,14,10988,-11
05-12-20,227,67,160,10938,1366,1407,15,10882,-56
06-12-20,228,67,161,10882,1320,1398,16,10788,-94
07-12-20,228,67,161,10788,1312,1389,16,10695,-93
08-12-20,228,67,161,10695,1236,1330,13,10588,-107
09-12-20,228,67,161,10588,1232,1315,14,10491,-97
10-12-20,228,67,161,10491,1220,1302,17,10392,-99
11-12-20,228,67,161,10392,1235,1311,17,10299,-93
12-12-20,228,67,161,10299,1218,1296,13,10208,-91
13-12-20,231,67,164,10208,1195,1276,12,10115,-93
14-12-20,231,67,164,10115,1141,1203,14,10039,-76
15-12-20,232,67,165,10039,1132,1210,10,9951,-88
17-12-20,233,67,166,9880,1174,1214,11,9829,-51
18-12-20,234,67,167,9829,1134,1170,12,9781,-48
