date,testing_facilities,government_testing_facilities,private_testing_facilities,active_cases_yesterday,positive_tested_cases,discharged_patients,deaths_today,active_cases_today,Rt_mean
24-07-20,114,58,56,52939,6785,6504,88,53132,2.0089661
25-07-20,115,58,57,53132,6988,7758,89,52273,1.556470153
26-07-20,116,58,58,52273,6986,5471,85,53703,1.282881262
28-07-20,119,58,61,54896,6972,4707,88,57073,1.114399266
29-07-20,119,58,61,57073,6426,5927,82,57490,0.998632156
30-07-20,119,58,61,57490,5864,5295,97,57962,0.938276572
31-07-20,120,59,61,57962,5881,5778,97,57968,0.927304831
01-08-20,121,59,62,57968,5879,7010,99,56738,0.93512518
02-08-20,122,59,63,56738,5875,5517,98,56998,0.949439251
03-08-20,122,59,63,56998,5609,5800,109,56698,0.966909037
04-08-20,125,60,65,56698,5063,6501,108,55152,0.986470088
05-08-20,125,60,65,55152,5175,6031,112,54184,1.014198859
06-08-20,126,61,65,54184,5684,6272,110,53486,1.035073246
07-08-20,126,61,65,53486,5880,6488,119,52759,1.039358451
08-08-20,129,61,68,52759,5883,5043,118,53481,1.033161349
09-08-20,129,61,68,53481,5994,6020,119,53336,1.026838034
10-08-20,130,61,69,53336,5914,6037,114,53099,1.012127698
11-08-20,131,61,70,53099,5834,6005,118,52810,1.003147367
13-08-20,134,61,73,52929,5835,5146,119,53499,1.003414469
14-08-20,134,61,73,53499,5890,5556,117,53716,1.005456547
15-08-20,135,62,73,53716,5860,5236,127,54213,1.006882397
16-08-20,135,62,73,54213,5950,6019,125,54019,1.008433128
18-08-20,136,62,74,54122,5709,5850,121,53860,1.007912468
19-08-20,136,62,74,53860,5795,6384,116,53155,1.013271084
21-08-20,139,63,76,53283,5995,5764,101,53413,1.024977544
22-08-20,139,63,76,53413,5980,5603,80,53710,1.03452359
23-08-20,139,63,76,53710,5975,6047,97,53541,1.029559733
26-08-20,145,63,82,52128,5958,5606,118,52362,1.022133998
27-08-20,146,63,83,52362,5981,5870,109,52364,1.016344156
28-08-20,146,63,83,52364,5996,5752,102,52506,1.008879542
29-08-20,149,63,86,52506,6352,6045,87,52726,1.004553863
30-08-20,149,63,86,52726,6495,6406,94,52721,0.988597648
31-08-20,150,63,87,52721,5956,6008,91,52578,0.966157275
01-09-20,152,63,89,52578,5928,6031,96,52379,0.957419664
02-09-20,154,64,90,52379,5990,5891,98,52380,0.952673484
03-09-20,154,64,90,52380,5892,6110,92,52070,0.94870286
04-09-20,155,64,91,52070,5976,6334,79,51633,0.954691503
07-09-20,161,64,97,51458,5776,5930,89,51215,0.958031368
09-09-20,163,64,99,50213,5584,6516,78,49203,0.964773831
10-09-20,163,64,99,49203,5528,6185,64,48482,0.97310467
11-09-20,165,65,100,48482,5519,6006,77,47918,0.979856863
12-09-20,167,65,102,47918,5495,6227,76,47110,0.986011795
14-09-20,170,65,105,47012,5752,5799,53,46912,0.986892871
15-09-20,170,65,105,46912,5697,5735,68,46806,0.979764442
16-09-20,170,65,105,46806,5652,5768,57,46633,0.973151279
17-09-20,174,66,108,46633,5560,5524,59,46610,0.977720874
18-09-20,175,66,109,46610,5488,5525,67,46506,0.985542603
20-09-20,174,66,108,46453,5516,5206,60,46703,0.998261544
21-09-20,174,66,108,46703,5344,5492,60,46495,1.003818611
22-09-20,176,66,110,46495,5337,5406,76,46350,1.010557027
23-09-20,177,66,111,46350,5325,5363,63,46249,1.018528853
24-09-20,178,66,112,46249,5692,5470,66,46405,1.026071479
25-09-20,182,66,116,46405,5679,5626,72,46386,1.020184372
27-09-20,182,66,116,46336,5791,5706,80,46341,1.014000791
28-09-20,184,66,118,46341,5589,5554,70,46306,1.001622357
29-09-20,186,66,120,46306,5546,5501,70,46281,0.993305683
30-09-20,186,66,120,46281,5659,5610,67,46263,0.978527535
01-10-20,187,66,121,46263,5688,5516,66,46369,0.973976714
02-10-20,188,66,122,46369,5595,5603,67,46294,0.961867901
03-10-20,189,66,123,46294,5622,5596,65,46255,0.956394922
04-10-20,189,66,123,46255,5489,5558,66,46120,0.947554506
05-10-20,189,66,123,46120,5395,5572,62,45881,0.940063597
06-10-20,189,66,123,45881,5017,5548,71,45279,0.930770541
07-10-20,190,66,124,45279,5447,5524,67,45135,0.927402855
08-10-20,190,66,124,45135,5088,5718,68,44437,0.912401488
09-10-20,190,66,124,44437,5185,5357,68,44197,0.90742156
11-10-20,191,66,125,44150,5015,5005,65,44095,0.898603295
12-10-20,191,66,125,44095,4879,5165,62,43747,0.884926437
13-10-20,191,66,125,43747,4666,5117,57,43239,0.864934668
14-10-20,192,66,126,43239,4462,5083,52,42566,0.839041025
15-10-20,192,66,126,42566,4410,5055,49,41872,0.820313065
16-10-20,192,66,126,41872,4389,5245,57,40959,0.805025504
17-10-20,192,66,126,40959,4295,5005,57,40192,0.786859935
18-10-20,192,66,126,40192,3914,4929,56,39121,0.772014227
19-10-20,192,66,126,39121,3536,4515,49,38093,0.765422309
20-10-20,194,66,128,38093,3094,4403,50,36734,0.766606631
22-10-20,197,66,131,35480,3077,4314,45,34198,0.785265125
23-10-20,198,66,132,34198,3057,4262,33,32960,0.810542883
24-10-20,198,66,132,32960,2886,4024,35,31787,0.832966389
25-10-20,199,66,133,31787,2869,4019,31,30606,0.854469735
26-10-20,200,66,134,30606,2708,4014,32,29268,0.871460308
