dates,I
23/07/2020,6472
24/07/2020,6785
25/07/2020,6988
26/07/2020,6986
28/07/2020,6972
29/07/2020,6426
30/07/2020,5864
31/07/2020,5881
01/08/2020,5879
02/08/2020,5875
03/08/2020,5609
04/08/2020,5063
05/08/2020,5175
06/08/2020,5684
07/08/2020,5880
08/08/2020,5883
09/08/2020,5994
10/08/2020,5914
11/08/2020,5834
13/08/2020,5835
14/08/2020,5890
15/08/2020,5860
16/08/2020,5950
18/08/2020,5709
19/08/2020,5795
21/08/2020,5995
22/08/2020,5980
23/08/2020,5975
26/08/2020,5958
27/08/2020,5981
28/08/2020,5996
29/08/2020,6352
30/08/2020,6495
31/08/2020,5956
01/09/2020,5928
02/09/2020,5990
03/09/2020,5892
04/09/2020,5976
07/09/2020,5776
09/09/2020,5584
10/09/2020,5528
11/09/2020,5519
12/09/2020,5495
14/09/2020,5752
15/09/2020,5697
16/09/2020,5652
17/09/2020,5560
18/09/2020,5488
20/09/2020,5516
21/09/2020,5344
22/09/2020,5337
23/09/2020,5325
24/09/2020,5692
25/09/2020,5679
27/09/2020,5791
28/09/2020,5589
29/09/2020,5546
30/09/2020,5659
01/10/2020,5688
02/10/2020,5595
03/10/2020,5622
04/10/2020,5489
05/10/2020,5395
06/10/2020,5017
07/10/2020,5447
08/10/2020,5088
09/10/2020,5185
11/10/2020,5015
12/10/2020,4879
13/10/2020,4666
14/10/2020,4462
15/10/2020,4410
16/10/2020,4389
17/10/2020,4295
18/10/2020,3914
19/10/2020,3536
20/10/2020,3094
22/10/2020,3077
23/10/2020,3057
24/10/2020,2886
25/10/2020,2869
26/10/2020,2708
27/10/2020,2522
28/10/2020,2516
29/10/2020,2652
30/10/2020,2608
31/10/2020,2511
01/11/2020,2504
02/11/2020,2481
03/11/2020,2435
04/11/2020,2487
05/11/2020,2348
06/11/2020,2370
07/11/2020,2341
08/11/2020,2334
09/11/2020,2257
10/11/2020,2146
11/11/2020,2184
12/11/2020,2112
13/11/2020,1939
16/11/2020,1725
17/11/2020,1652
18/11/2020,1714
19/11/2020,1707
20/11/2020,1688
21/11/2020,1663
22/11/2020,1655
23/11/2020,1624
24/11/2020,1557
25/11/2020,1534
26/11/2020,1464
27/11/2020,1442
28/11/2020,1430
29/11/2020,1459
01/12/2020,1404
02/12/2020,1428
03/12/2020,1416
05/12/2020,1366
06/12/2020,1320
07/12/2020,1312
08/12/2020,1236
09/12/2020,1232
10/12/2020,1220
11/12/2020,1235
12/12/2020,1218
13/12/2020,1195
14/12/2020,1141
15/12/2020,1132
17/12/2020,1174
18/12/2020,1134
19/12/2020,1127
20/12/2020,1114
21/12/2020,1071
22/12/2020,1052
23/12/2020,1066
24/12/2020,1035
25/12/2020,1027
26/12/2020,1019
27/12/2020,1009
28/12/2020,1005
29/12/2020,957
30/12/2020,945
31/12/2020,937
01/01/2021,921
02/01/2021,910
03/01/2021,867
04/01/2021,838
05/01/2021,820
06/01/2021,811
07/01/2021,805
08/01/2021,790
09/01/2021,761
10/01/2021,724
11/01/2021,682
12/01/2021,671
13/01/2021,673
14/01/2021,665
15/01/2021,621
16/01/2021,610
17/01/2021,589
18/01/2021,551
19/01/2021,543
21/01/2021,596
22/01/2021,574
23/01/2021,586
24/01/2021,569
25/01/2021,540
26/01/2021,523
27/01/2021,512
28/01/2021,503
29/01/2021,509
30/01/2021,505
31/01/2021,508
01/02/2021,502
02/02/2021,510
03/02/2021,514
