date,comorbidities_government_dme,comorbidities_government_dms,comorbidities_private,comorbidities_other_government_institutions,comorbidities_total,no_comorbidities_government_dme,no_comorbidities_government_dms,no_comorbidities_private,no_comorbidities_other_government_institutions,no_comorbidities_total,Rt_mean
24-07-20,53,7,21,,82,4,1,1,,6,2.0089661
25-07-20,52,5,22,,84,3,1,1,,5,1.556470153
26-07-20,37,3,34,,75,8,0,2,,10,1.282881262
28-07-20,55,6,22,,85,2,0,1,,3,1.114399266
29-07-20,40,8,27,,75,3,3,1,,7,0.998632156
30-07-20,51,6,30,,89,5,1,2,,8,0.938276572
31-07-20,51,8,28,,89,7,0,1,,8,0.927304831
01-08-20,60,7,21,,90,8,0,1,,9,0.93512518
02-08-20,59,6,22,,90,6,1,1,,8,0.949439251
03-08-20,69,7,23,,102,6,0,0,,7,0.966909037
04-08-20,69,7,22,,99,6,0,3,,9,0.986470088
05-08-20,75,2,26,,104,5,1,2,,8,1.014198859
06-08-20,74,9,21,,104,5,0,1,,6,1.035073246
07-08-20,62,7,41,,115,4,0,0,,4,1.039358451
08-08-20,62,7,35,,109,6,0,2,,9,1.033161349
09-08-20,63,8,31,,103,12,1,3,,16,1.026838034
10-08-20,71,4,30,,105,3,1,4,,9,1.012127698
11-08-20,48,9,45,,107,6,2,2,,11,1.003147367
13-08-20,64,9,36,,112,5,0,2,,7,1.003414469
14-08-20,67,5,30,,105,6,0,4,,12,1.005456547
15-08-20,61,6,41,,115,9,0,3,,12,1.006882397
16-08-20,62,6,37,,108,14,0,2,,17,1.008433128
18-08-20,64,10,31,,108,10,1,1,,13,1.007912468
19-08-20,61,12,32,,107,5,1,0,,9,1.013271084
21-08-20,49,4,35,,93,6,1,1,,8,1.024977544
22-08-20,40,7,22,,72,5,1,1,,8,1.03452359
23-08-20,61,5,21,,87,10,0,0,,10,1.029559733
26-08-20,53,9,41,,107,7,1,0,,11,1.022133998
27-08-20,54,8,30,,101,6,1,0,,8,1.016344156
28-08-20,48,10,32,,97,2,1,1,,5,1.008879542
29-08-20,43,5,27,,82,3,0,1,,5,1.004553863
30-08-20,41,9,35,,87,5,0,2,,7,0.988597648
31-08-20,31,7,34,,81,6,1,1,,10,0.966157275
01-09-20,51,3,33,,92,2,0,2,,4,0.957419664
02-09-20,42,9,40,,93,1,1,1,,5,0.952673484
03-09-20,44,7,30,,83,3,1,4,,9,0.94870286
04-09-20,32,11,27,,71,6,1,1,,8,0.954691503
07-09-20,40,5,34,,82,4,0,2,,7,0.958031368
09-09-20,40,9,20,,76,1,0,1,,2,0.964773831
10-09-20,27,7,22,,58,4,2,0,,6,0.97310467
11-09-20,33,2,36,,74,3,0,0,,3,0.979856863
12-09-20,25,8,33,,68,2,0,4,,8,0.986011795
14-09-20,26,2,18,,50,1,0,1,,3,0.986892871
15-09-20,26,5,27,,60,7,0,1,,8,0.979764442
16-09-20,23,4,20,,50,4,0,3,,7,0.973151279
17-09-20,27,3,20,,52,4,0,3,,7,0.977720874
18-09-20,21,3,32,,60,5,0,2,,7,0.985542603
20-09-20,25,5,18,,51,3,1,4,,9,0.998261544
21-09-20,22,3,28,,57,2,0,1,,3,1.003818611
22-09-20,29,6,29,,69,3,0,3,,7,1.010557027
23-09-20,24,5,26,,59,1,1,1,,4,1.018528853
24-09-20,24,11,21,,58,5,1,2,,8,1.026071479
25-09-20,31,2,33,,68,2,0,2,,4,1.020184372
27-09-20,37,10,27,,77,2,1,0,,3,1.014000791
28-09-20,29,7,25,,64,1,1,4,,6,1.001622357
29-09-20,31,8,26,,66,1,0,3,,4,0.993305683
30-09-20,27,8,18,,62,0,2,3,,5,0.978527535
01-10-20,23,5,22,,57,2,1,5,,9,0.973976714
02-10-20,31,5,22,,62,1,1,2,,5,0.961867901
03-10-20,21,11,24,,61,3,1,0,,4,0.956394922
04-10-20,24,5,27,,60,3,0,2,,6,0.947554506
05-10-20,20,8,30,,59,2,0,1,,3,0.940063597
06-10-20,29,5,30,,66,3,1,0,,5,0.930770541
07-10-20,23,6,31,,61,2,0,1,,6,0.927402855
08-10-20,25,5,28,,60,4,1,3,,8,0.912401488
09-10-20,26,4,32,,64,1,0,2,,4,0.90742156
11-10-20,19,3,38,,63,1,0,1,,2,0.898603295
12-10-20,18,6,25,,56,2,0,4,,6,0.884926437
13-10-20,21,9,18,,53,0,2,1,,4,0.864934668
14-10-20,24,3,19,,50,0,0,2,,2,0.839041025
15-10-20,22,1,22,,47,2,0,0,,2,0.820313065
16-10-20,26,6,18,,51,2,2,2,,6,0.805025504
17-10-20,23,2,25,,54,0,0,2,,3,0.786859935
18-10-20,22,2,29,,55,1,0,0,,1,0.772014227
19-10-20,19,4,25,,48,1,0,0,,1,0.765422309
20-10-20,18,6,18,,44,2,3,1,,6,0.766606631
22-10-20,16,5,20,,43,1,1,0,,2,0.785265125
23-10-20,13,4,12,,30,2,0,1,,3,0.810542883
24-10-20,11,4,12,,30,0,1,4,,5,0.832966389
25-10-20,10,5,14,,30,0,1,0,,1,0.854469735
26-10-20,10,4,13,,29,1,1,1,,3,0.871460308
27-10-20,11,4,11,,27,0,0,0,,0,0.890490391
28-10-20,12,3,14,,31,1,0,2,,4,0.912814209
29-10-20,12,2,15,,32,2,0,1,,3,0.934711734
30-10-20,15,2,16,,36,1,0,1,,2,0.937824874
31-10-20,8,3,17,,31,0,0,0,,0,0.939971183
01-11-20,10,2,14,,28,0,1,1,,2,0.943310275
02-11-20,8,0,19,,28,0,0,2,,3,0.945790919
03-11-20,9,4,15,,29,1,0,0,,2,0.94467345
04-11-20,10,2,17,,29,1,0,0,,1,0.939216105
05-11-20,12,1,13,,26,1,0,1,,2,0.932656149
06-11-20,19,1,5,,25,1,0,1,,2,0.930460191
07-11-20,9,0,13,,22,1,1,1,,3,0.917518477
08-11-20,6,1,9,,20,0,0,0,,0,0.893808179
09-11-20,8,2,6,,17,0,1,0,,1,0.866902141
10-11-20,13,1,7,,22,1,0,2,,3,0.851036496
11-11-20,8,1,11,,24,2,0,2,,4,0.845420028
12-11-20,8,2,11,,22,2,0,1,,3,0.839020913
13-11-20,4,0,5,,12,0,0,2,,2,0.836858787
16-11-20,6,0,9,,16,0,0,0,,1,0.846612883
17-11-20,5,0,12,,18,0,0,0,,0,0.870124502
18-11-20,6,0,10,,18,0,0,0,,0,0.893573318
19-11-20,5,1,7,,18,1,0,0,,1,0.90727126
20-11-20,5,0,11,,17,1,0,0,,1,0.911030811
21-11-20,6,1,7,,18,0,0,0,,0,0.910314967
22-11-20,7,0,10,,18,0,0,1,,1,0.908422371
23-11-20,7,1,8,,16,0,0,1,,1,0.909009939
24-11-20,9,0,6,,16,0,0,1,,1,0.90748179
25-11-20,8,0,6,,14,0,0,2,,2,0.9139449
26-11-20,7,0,5,,13,0,0,1,,1,0.921376867
27-11-20,6,0,5,,12,0,0,0,,0,0.929956412
