date,passengers,positive_cases,
23-07-20,420925,5044,
24-07-20,427048,5100,2.0089661
25-07-20,432041,5162,1.556470153
26-07-20,439297,5237,1.282881262
28-07-20,450096,5338,1.114399266
29-07-20,455638,5371,0.998632156
30-07-20,462131,5424,0.938276572
31-07-20,467858,5455,0.927304831
01-08-20,474659,5512,0.93512518
02-08-20,481706,5576,0.949439251
03-08-20,487533,5608,0.966909037
04-08-20,493510,5636,0.986470088
05-08-20,499811,5676,1.014198859
06-08-20,507092,5718,1.035073246
07-08-20,514931,5742,1.039358451
08-08-20,522753,5759,1.033161349
09-08-20,532443,5779,1.026838034
10-08-20,540175,5814,1.012127698
11-08-20,548747,5834,1.003147367
13-08-20,567334,5886,1.003414469
14-08-20,575823,5914,1.005456547
15-08-20,587046,5944,1.006882397
16-08-20,595141,5976,1.008433128
18-08-20,612410,6007,1.007912468
19-08-20,621641,6017,1.013271084
21-08-20,642972,6068,1.024977544
22-08-20,653460,6091,1.03452359
23-08-20,665828,6124,1.029559733
26-08-20,697892,6179,1.022133998
27-08-20,709455,6209,1.016344156
28-08-20,719253,6226,1.008879542
29-08-20,730542,6252,1.004553863
30-08-20,738669,6279,0.988597648
31-08-20,748916,6310,0.966157275
01-09-20,761177,6341,0.957419664
02-09-20,772721,6369,0.952673484
03-09-20,785402,6406,0.94870286
04-09-20,797854,6431,0.954691503
07-09-20,837656,6457,0.958031368
09-09-20,860527,6467,0.964773831
10-09-20,873861,6473,0.97310467
11-09-20,885777,6478,0.979856863
12-09-20,896778,6483,0.986011795
14-09-20,919827,6500,0.986892871
15-09-20,932892,6510,0.979764442
16-09-20,943029,6517,0.973151279
17-09-20,954849,6521,0.977720874
18-09-20,964835,6532,0.985542603
20-09-20,986506,6552,0.998261544
21-09-20,997620,6555,1.003818611
22-09-20,1008780,6558,1.010557027
23-09-20,1017589,6564,1.018528853
24-09-20,1026960,6577,1.026071479
25-09-20,1036951,6585,1.020184372
27-09-20,1061115,6592,1.014000791
28-09-20,1073122,6604,1.001622357
29-09-20,1085184,6613,0.993305683
30-09-20,1094212,6626,0.978527535
01-10-20,1106035,6631,0.973976714
02-10-20,1116679,6638,0.961867901
03-10-20,1131635,6646,0.956394922
04-10-20,1141356,6653,0.947554506
05-10-20,1152970,6660,0.940063597
06-10-20,1165198,6663,0.930770541
07-10-20,1174751,6672,0.927402855
08-10-20,1186294,6681,0.912401488
09-10-20,1197336,6700,0.90742156
11-10-20,1219538,6708,0.898603295
12-10-20,1230727,6711,0.884926437
13-10-20,1242797,6711,0.864934668
14-10-20,1251690,6711,0.839041025
15-10-20,1263336,6711,0.820313065
16-10-20,1281291,6711,0.805025504
17-10-20,1294996,6711,0.786859935
18-10-20,1306757,6711,0.772014227
19-10-20,1319435,6711,0.765422309
20-10-20,1331705,6711,0.766606631
22-10-20,1353531,6711,0.785265125
23-10-20,1363932,6711,0.810542883
24-10-20,1374852,6711,0.832966389
25-10-20,1383819,6711,0.854469735
26-10-20,1395483,6711,0.871460308
27-10-20,1406495,6711,0.890490391
28-10-20,1416297,6711,0.912814209
29-10-20,1427176,6711,0.934711734
30-10-20,1436684,6711,0.937824874
31-10-20,1448411,6711,0.939971183
01-11-20,1459593,6711,0.943310275
02-11-20,1473074,6711,0.945790919
03-11-20,1485177,6711,0.94467345
04-11-20,1495462,6711,0.939216105
05-11-20,1507219,6711,0.932656149
06-11-20,1507409,6711,0.930460191
07-11-20,1529098,6711,0.917518477
08-11-20,1540850,6711,0.893808179
09-11-20,1554107,6711,0.866902141
10-11-20,1565643,6711,0.851036496
11-11-20,1576786,6711,0.845420028
12-11-20,1590565,6711,0.839020913
13-11-20,1658887,6711,0.836858787
