T,H,SL,Confirmed,DI,GA,MT,New Cases,TJ,State,Date,Rt
3,3,0,3,0,0,0,0,0,Kerala,08/02/2020,1.06525361201377
3,3,0,3,0,0,0,0,0,Kerala,09/02/2020,0.503214037126216
3,3,0,3,0,0,0,0,0,Kerala,10/02/2020,0.517751760781395
3,3,0,3,0,0,0,0,0,Kerala,11/02/2020,0.600186004985695
3,3,0,3,0,0,0,0,0,Kerala,12/02/2020,0.766755337276243
3,3,0,3,0,0,0,0,0,Kerala,13/02/2020,1.03468855248486
3,3,0,3,0,0,0,0,0,Kerala,14/02/2020,1.42370739177861
3,3,0,3,0,0,0,0,0,Kerala,15/02/2020,1.93882628078609
3,3,0,3,0,0,0,0,0,Kerala,16/02/2020,2.54926824754216
3,3,0,3,0,0,0,0,0,Kerala,17/02/2020,3.1827345751296603
3,3,0,3,0,0,0,0,0,Kerala,18/02/2020,3.7525403561776
3,3,0,3,0,0,0,0,0,Kerala,19/02/2020,4.20022055800838
3,3,0,3,0,0,0,0,0,Kerala,20/02/2020,4.514286894872111
3,3,0,3,0,0,0,0,0,Kerala,21/02/2020,4.7165266027422685
3,3,0,3,0,0,0,0,0,Kerala,22/02/2020,4.83912807855316
3,2,0,3,0,0,0,0,0,Kerala,23/02/2020,4.910472374188831
3,3,0,3,0,0,0,0,0,Kerala,24/02/2020,4.9508640695827095
3,2,0,3,0,0,0,0,0,Kerala,25/02/2020,4.973307127072379
3,3,0,3,0,0,0,0,0,Kerala,26/02/2020,4.985613089837651
3,3,0,3,0,0,0,0,0,Kerala,27/02/2020,4.992294796847911
3,2,0,3,0,0,0,0,0,Kerala,28/02/2020,4.99589515761551
3,2,0,3,0,0,0,0,0,Kerala,29/02/2020,4.997823175874808
3,2,0,3,0,0,0,0,0,Kerala,01/03/2020,4.99885025738592
2,1,0,3,0,0,0,0,0,Kerala,02/03/2020,4.9993949219757985
3,3,0,3,0,0,0,0,0,Kerala,03/03/2020,4.9996826025892585
3,3,0,3,0,0,0,0,0,Kerala,04/03/2020,4.99983400315992
3,4,0,3,0,0,0,0,0,Kerala,05/03/2020,4.9999134223273884
3,3,0,3,0,0,0,0,0,Kerala,06/03/2020,4.9999549584765
3,3,0,3,0,0,0,0,0,Kerala,07/03/2020,4.999976622298269
3,3,0,8,0,0,0,1,0,Kerala,08/03/2020,29.9999273568093
3,3,0,9,0,0,0,1,0,Kerala,09/03/2020,24.6427799471619
3,3,0,15,0,0,0,1,0,Kerala,10/03/2020,14.531755972940301
3,3,0,17,0,0,0,1,0,Kerala,11/03/2020,7.176919921041192
3,3,0,17,0,0,0,0,0,Kerala,12/03/2020,3.74087488313113
3,2,0,19,0,0,0,1,0,Kerala,13/03/2020,2.65282948098229
3,3,0,19,0,0,0,0,0,Kerala,14/03/2020,1.94518049277122
3,3,0,22,0,0,0,1,0,Kerala,15/03/2020,1.38600337996357
3,2,0,23,0,1,0,1,0,Kerala,16/03/2020,1.19903664580643
3,3,0,26,0,1,0,1,0,Kerala,17/03/2020,0.8850683044449821
3,2,0,27,0,1,0,1,0,Kerala,18/03/2020,0.7853072101059541
3,2,0,27,0,1,0,0,0,Kerala,19/03/2020,0.7956404198188929
3,3,0,28,0,1,0,1,0,Kerala,20/03/2020,0.759337276694612
3,3,0,40,0,1,0,1,0,Kerala,21/03/2020,1.7794391188951697
3,3,0,52,0,1,0,1,1,Kerala,22/03/2020,2.6378191737435097
3,3,0,67,0,1,0,1,1,Kerala,23/03/2020,3.56912093493241
2,1,0,95,0,1,0,1,1,Kerala,24/03/2020,4.45991127380915
3,3,0,109,0,1,0,1,1,Kerala,25/03/2020,3.86274435832105
3,3,0,118,0,1,0,1,1,Kerala,26/03/2020,2.9858935212484803
3,2,0,137,0,1,0,1,1,Kerala,27/03/2020,2.57209816885754
3,2,0,176,0,1,0,1,1,Kerala,28/03/2020,2.46184290540379
3,3,0,182,0,1,0,1,1,Kerala,29/03/2020,1.88905836872398
3,3,0,202,0,1,0,1,1,Kerala,30/03/2020,1.6091422140251002
3,3,0,234,0,1,0,1,1,Kerala,31/03/2020,1.41849237483874
3,3,0,241,0,1,0,1,1,Kerala,01/04/2020,1.20572607447354
