T,H,SL,Confirmed,DI,GA,MT,New Cases,TJ,State,Date,Rt
3,1,0,39,0,1,0,1,0,Maharashtra,17/03/2020,3.0952755820711
3,2,0,42,0,1,0,1,0,Maharashtra,18/03/2020,2.17545218199634
3,1,0,47,0,1,0,1,0,Maharashtra,19/03/2020,1.77020411552116
3,3,0,52,0,1,0,1,0,Maharashtra,20/03/2020,1.55372710620989
3,3,0,63,0,1,0,1,0,Maharashtra,21/03/2020,1.75141480951548
3,3,0,67,0,1,0,1,1,Maharashtra,22/03/2020,1.139868363611
3,2,0,74,0,1,0,1,1,Maharashtra,23/03/2020,1.23214423496607
3,3,0,89,0,1,0,1,1,Maharashtra,24/03/2020,1.3734511711023
3,3,0,128,0,1,0,1,1,Maharashtra,25/03/2020,2.2521538957127403
3,3,0,129,0,1,0,1,1,Maharashtra,26/03/2020,2.01074302304925
3,2,0,130,0,1,0,1,1,Maharashtra,27/03/2020,1.64909582773767
3,2,0,180,0,1,0,1,1,Maharashtra,28/03/2020,2.0855735603163503
3,2,0,186,0,1,0,1,1,Maharashtra,29/03/2020,1.85408894895234
3,2,0,198,0,1,0,1,1,Maharashtra,30/03/2020,1.67250108133724
3,2,0,216,0,1,0,1,1,Maharashtra,31/03/2020,1.48527583326323
3,2,0,302,0,1,0,1,1,Maharashtra,01/04/2020,1.8035603954589297
3,2,0,335,0,1,0,1,1,Maharashtra,02/04/2020,1.93361082185186
3,2,0,335,0,1,0,0,1,Maharashtra,03/04/2020,1.71232088112498
3,2,0,490,0,1,0,1,1,Maharashtra,04/04/2020,2.24831869032477
3,3,0,490,0,1,0,0,1,Maharashtra,05/04/2020,1.92070465055511
3,3,0,748,0,1,0,1,1,Maharashtra,06/04/2020,2.9488506815260203
3,3,0,868,0,1,0,1,1,Maharashtra,07/04/2020,2.93638780896209
3,3,0,1018,0,1,0,1,1,Maharashtra,08/04/2020,2.55500332891352
3,3,0,1135,0,1,0,1,1,Maharashtra,09/04/2020,2.20982125200798
3,3,0,1364,0,1,0,1,1,Maharashtra,10/04/2020,2.26952312227832
3,3,0,1574,0,1,0,1,1,Maharashtra,11/04/2020,1.97795506875709
3,3,0,1761,0,1,1,1,1,Maharashtra,12/04/2020,1.93931647060236
3,3,0,1985,0,1,1,1,1,Maharashtra,13/04/2020,1.60541652646158
3,3,0,2337,0,1,1,1,1,Maharashtra,14/04/2020,1.64957492365808
3,3,0,2687,0,2,1,1,1,Maharashtra,15/04/2020,1.66505713222138
3,3,0,2919,0,2,1,1,1,Maharashtra,16/04/2020,1.598305573181
3,3,0,3205,0,2,1,1,1,Maharashtra,17/04/2020,1.4785774359596002
3,3,0,3323,0,2,1,1,1,Maharashtra,18/04/2020,1.26535702573724
3,3,0,3651,0,2,1,1,1,Maharashtra,19/04/2020,1.25173605193937
3,2,0,4203,0,2,1,2,1,Maharashtra,20/04/2020,1.37925244634408
3,2,0,4669,0,2,1,1,2,Maharashtra,21/04/2020,1.37871712585294
3,3,0,5221,0,2,1,2,2,Maharashtra,22/04/2020,1.41087927212255
3,3,0,5652,0,2,1,1,2,Maharashtra,23/04/2020,1.4195753664168105
3,3,0,6430,0,2,1,2,2,Maharashtra,24/04/2020,1.55578341645155
3,3,0,6817,0,2,1,1,2,Maharashtra,25/04/2020,1.55905920375862
3,2,0,7628,0,2,1,2,2,Maharashtra,26/04/2020,1.62163512072586
3,2,0,8068,0,2,1,1,2,Maharashtra,27/04/2020,1.42795959781442
3,3,0,8590,0,2,1,2,2,Maharashtra,28/04/2020,1.3087965762514
3,3,0,9318,0,2,1,2,2,Maharashtra,29/04/2020,1.25456441038542
3,3,0,9915,0,2,1,2,2,Maharashtra,30/04/2020,1.22369470558123
3,3,0,10498,0,2,1,2,2,Maharashtra,01/05/2020,1.11011399822116
3,3,0,11506,0,2,1,2,2,Maharashtra,02/05/2020,1.22665905154622
3,3,0,12296,0,2,1,2,2,Maharashtra,03/05/2020,1.18291868165868
3,3,0,12974,0,2,1,2,2,Maharashtra,04/05/2020,1.20088906306849
3,3,0,14541,0,2,1,3,2,Maharashtra,05/05/2020,1.4026104018643302
3,3,0,15525,0,2,1,2,2,Maharashtra,06/05/2020,1.40326439439888
3,3,0,16758,0,2,1,2,2,Maharashtra,07/05/2020,1.4557164075227902
3,3,0,17974,0,2,1,2,2,Maharashtra,08/05/2020,1.47629472692292
3,3,0,19063,0,2,1,2,2,Maharashtra,09/05/2020,1.37663338396544
3,3,0,20228,0,2,1,2,2,Maharashtra,10/05/2020,1.33016486758013
3,3,0,22171,0,2,1,3,2,Maharashtra,11/05/2020,1.4316031290483302
3,3,0,23401,0,2,2,2,2,Maharashtra,12/05/2020,1.2909331391368402
3,3,0,24427,0,2,2,2,2,Maharashtra,13/05/2020,1.21029834911596
3,3,0,25922,0,2,2,2,2,Maharashtra,14/05/2020,1.1713963009306
3,3,0,27524,0,3,2,3,2,Maharashtra,15/05/2020,1.1653682103901102
3,3,0,29100,0,3,2,3,2,Maharashtra,16/05/2020,1.18165976984522
3,3,0,30706,0,3,2,3,2,Maharashtra,17/05/2020,1.19427282675713
3,3,0,33053,0,3,2,3,2,Maharashtra,18/05/2020,1.19894068493698
3,3,0,35058,0,3,2,3,2,Maharashtra,19/05/2020,1.23801122902323
3,2,0,37136,0,3,2,3,2,Maharashtra,20/05/2020,1.29809414075436
3,2,0,39297,0,3,2,3,3,Maharashtra,21/05/2020,1.30727900539348
3,2,0,41642,0,3,2,3,3,Maharashtra,22/05/2020,1.3096394173387
3,2,0,44582,0,3,2,4,3,Maharashtra,23/05/2020,1.35618071722696
3,3,0,47190,0,3,2,4,3,Maharashtra,24/05/2020,1.36103465846245
3,3,0,50231,0,3,2,4,3,Maharashtra,25/05/2020,1.33145555062979
3,3,0,52667,0,3,2,3,3,Maharashtra,26/05/2020,1.27789866926832
3,3,0,54758,0,3,2,3,3,Maharashtra,27/05/2020,1.20079518286633
3,3,0,56948,0,3,2,3,3,Maharashtra,28/05/2020,1.13845006129282
3,3,0,59546,0,3,2,4,3,Maharashtra,29/05/2020,1.10596865884392
3,3,0,62228,0,3,2,4,3,Maharashtra,30/05/2020,1.05640984812444
3,2,0,65168,0,3,2,4,3,Maharashtra,31/05/2020,1.05230383741276
3,3,0,67655,0,3,2,3,3,Maharashtra,01/06/2020,1.00472581463533
3,3,0,70013,0,3,2,3,3,Maharashtra,02/06/2020,0.9901565130497232
3,4,0,72300,0,3,2,3,3,Maharashtra,03/06/2020,0.996947025335818
