Date,State,Confirmed,New Cases,T,H
01/02/2020,Kerala,2,1,28.67,73.0
02/02/2020,Kerala,3,1,29.0,76.0
03/02/2020,Kerala,3,0,28.33,73.0
04/02/2020,Kerala,3,0,28.67,76.0
05/02/2020,Kerala,3,0,28.33,73.0
06/02/2020,Kerala,3,0,28.33,74.0
07/02/2020,Kerala,3,0,28.67,79.0
08/02/2020,Kerala,3,0,28.67,79.0
09/02/2020,Kerala,3,0,29.0,76.0
10/02/2020,Kerala,3,0,29.0,79.0
11/02/2020,Kerala,3,0,29.33,78.0
12/02/2020,Kerala,3,0,29.33,76.0
13/02/2020,Kerala,3,0,29.33,79.0
14/02/2020,Kerala,3,0,29.33,78.0
15/02/2020,Kerala,3,0,29.0,78.0
16/02/2020,Kerala,3,0,29.67,73.0
17/02/2020,Kerala,3,0,29.0,76.0
18/02/2020,Kerala,3,0,28.33,72.0
19/02/2020,Kerala,3,0,28.67,71.0
20/02/2020,Kerala,3,0,28.0,72.0
21/02/2020,Kerala,3,0,29.67,67.0
22/02/2020,Kerala,3,0,29.0,73.0
23/02/2020,Kerala,3,0,29.33,67.0
24/02/2020,Kerala,3,0,29.33,67.0
25/02/2020,Kerala,3,0,29.33,65.0
26/02/2020,Kerala,3,0,29.67,66.0
27/02/2020,Kerala,3,0,29.33,68.0
28/02/2020,Kerala,3,0,30.0,65.0
29/02/2020,Kerala,3,0,19.33,40.0
01/03/2020,Kerala,3,0,29.33,65.0
02/03/2020,Kerala,3,0,30.0,67.0
03/03/2020,Kerala,3,0,29.0,79.0
04/03/2020,Kerala,3,0,29.67,71.0
05/03/2020,Kerala,3,0,18.67,53.0
06/03/2020,Kerala,3,0,29.67,70.0
07/03/2020,Kerala,3,0,29.33,71.0
08/03/2020,Kerala,8,5,29.67,69.0
09/03/2020,Kerala,9,1,29.67,71.0
10/03/2020,Kerala,15,6,30.0,70.0
11/03/2020,Kerala,17,2,29.67,72.0
12/03/2020,Kerala,17,0,20.0,45.0
13/03/2020,Kerala,19,2,30.33,62.0
14/03/2020,Kerala,19,0,29.67,67.0
15/03/2020,Kerala,22,3,29.33,72.0
16/03/2020,Kerala,23,1,30.0,66.0
17/03/2020,Kerala,26,3,31.0,60.0
18/03/2020,Kerala,27,1,31.0,65.0
19/03/2020,Kerala,27,0,29.67,69.0
20/03/2020,Kerala,28,1,30.33,73.0
21/03/2020,Kerala,40,12,30.0,75.0
22/03/2020,Kerala,52,12,30.33,70.0
23/03/2020,Kerala,67,15,30.0,70.0
24/03/2020,Kerala,95,28,30.0,71.0
25/03/2020,Kerala,109,14,29.67,69.0
26/03/2020,Kerala,118,9,30.0,67.0
27/03/2020,Kerala,137,19,20.67,39.0
28/03/2020,Kerala,176,39,30.0,69.0
29/03/2020,Kerala,182,6,30.0,70.0
30/03/2020,Kerala,202,20,30.0,72.0
31/03/2020,Kerala,234,32,30.33,69.0
01/04/2020,Kerala,241,7,30.0,70.0
02/04/2020,Kerala,265,24,29.67,71.0
03/04/2020,Kerala,286,21,30.33,69.0
04/04/2020,Kerala,295,9,30.67,69.0
05/04/2020,Kerala,306,11,28.09345323741007,75.90647482014388
06/04/2020,Kerala,314,8,30.0,70.0
07/04/2020,Kerala,327,13,30.33,72.0
08/04/2020,Kerala,336,9,29.67,68.0
09/04/2020,Kerala,345,9,29.67,72.0
10/04/2020,Kerala,357,12,20.0,51.0
11/04/2020,Kerala,364,7,30.67,70.0
