,Date,State/UnionTerritory,Confirmed,new_cases
1,01-02-2020,Kerala,2,1
2,02-02-2020,Kerala,3,1
3,03-02-2020,Kerala,3,0
4,04-02-2020,Kerala,3,0
5,05-02-2020,Kerala,3,0
6,06-02-2020,Kerala,3,0
7,07-02-2020,Kerala,3,0
8,08-02-2020,Kerala,3,0
9,09-02-2020,Kerala,3,0
10,10-02-2020,Kerala,3,0
11,11-02-2020,Kerala,3,0
12,12-02-2020,Kerala,3,0
13,13-02-2020,Kerala,3,0
14,14-02-2020,Kerala,3,0
15,15-02-2020,Kerala,3,0
16,16-02-2020,Kerala,3,0
17,17-02-2020,Kerala,3,0
18,18-02-2020,Kerala,3,0
19,19-02-2020,Kerala,3,0
20,20-02-2020,Kerala,3,0
21,21-02-2020,Kerala,3,0
22,22-02-2020,Kerala,3,0
23,23-02-2020,Kerala,3,0
24,24-02-2020,Kerala,3,0
25,25-02-2020,Kerala,3,0
26,26-02-2020,Kerala,3,0
27,27-02-2020,Kerala,3,0
28,28-02-2020,Kerala,3,0
29,29-02-2020,Kerala,3,0
30,01-03-2020,Kerala,3,0
32,02-03-2020,Kerala,3,0
36,03-03-2020,Kerala,3,0
39,04-03-2020,Kerala,3,0
46,05-03-2020,Kerala,3,0
52,06-03-2020,Kerala,3,0
56,07-03-2020,Kerala,3,0
68,08-03-2020,Kerala,8,5
74,09-03-2020,Kerala,9,1
89,10-03-2020,Kerala,15,6
99,11-03-2020,Kerala,17,2
110,12-03-2020,Kerala,17,0
123,13-03-2020,Kerala,19,2
136,14-03-2020,Kerala,19,0
151,15-03-2020,Kerala,22,3
165,16-03-2020,Kerala,23,1
180,17-03-2020,Kerala,26,3
195,18-03-2020,Kerala,27,1
213,19-03-2020,Kerala,27,0
233,20-03-2020,Kerala,28,1
254,21-03-2020,Kerala,40,12
277,22-03-2020,Kerala,52,12
300,23-03-2020,Kerala,67,15
323,24-03-2020,Kerala,95,28
347,25-03-2020,Kerala,109,14
376,26-03-2020,Kerala,118,9
403,27-03-2020,Kerala,137,19
430,28-03-2020,Kerala,176,39
457,29-03-2020,Kerala,182,6
484,30-03-2020,Kerala,202,20
512,31-03-2020,Kerala,234,32
542,01-04-2020,Kerala,241,7
571,02-04-2020,Kerala,265,24
601,03-04-2020,Kerala,286,21
632,04-04-2020,Kerala,295,9
662,05-04-2020,Kerala,306,11
692,06-04-2020,Kerala,314,8
722,07-04-2020,Kerala,327,13
753,08-04-2020,Kerala,336,9
784,09-04-2020,Kerala,345,9
815,10-04-2020,Kerala,357,12
846,11-04-2020,Kerala,364,7
877,12-04-2020,Kerala,374,10
908,13-04-2020,Kerala,376,2
940,14-04-2020,Kerala,379,3
973,15-04-2020,Kerala,387,8
1006,16-04-2020,Kerala,388,1
1039,17-04-2020,Kerala,395,7
1072,18-04-2020,Kerala,396,1
1105,19-04-2020,Kerala,400,4
1138,20-04-2020,Kerala,402,2
1171,21-04-2020,Kerala,408,6
1204,22-04-2020,Kerala,427,19
1236,23-04-2020,Kerala,438,11
1268,24-04-2020,Kerala,448,10
1300,25-04-2020,Kerala,451,3
1332,26-04-2020,Kerala,458,7
1364,27-04-2020,Kerala,469,11
1396,28-04-2020,Kerala,482,13
1428,29-04-2020,Kerala,486,4
1460,30-04-2020,Kerala,496,10
1492,01-05-2020,Kerala,497,1
1524,02-05-2020,Kerala,497,0
1556,03-05-2020,Kerala,500,3
1588,04-05-2020,Kerala,500,0
1620,05-05-2020,Kerala,500,0
1653,06-05-2020,Kerala,502,2
1686,07-05-2020,Kerala,503,1
1719,08-05-2020,Kerala,503,0
1752,09-05-2020,Kerala,503,0
1785,10-05-2020,Kerala,505,2
1818,11-05-2020,Kerala,512,7
1851,12-05-2020,Kerala,519,7
1884,13-05-2020,Kerala,524,5
1917,14-05-2020,Kerala,534,10
1950,15-05-2020,Kerala,560,26
1983,16-05-2020,Kerala,576,16
2016,17-05-2020,Kerala,587,11
2049,18-05-2020,Kerala,601,14
2082,19-05-2020,Kerala,630,29
2115,20-05-2020,Kerala,642,12
2149,21-05-2020,Kerala,666,24
2183,22-05-2020,Kerala,690,24
2217,23-05-2020,Kerala,732,42
2251,24-05-2020,Kerala,795,63
2286,25-05-2020,Kerala,847,52
2321,26-05-2020,Kerala,896,49
2357,27-05-2020,Kerala,963,67
2393,28-05-2020,Kerala,1004,41
2429,29-05-2020,Kerala,1088,84
2465,30-05-2020,Kerala,1150,62
2501,31-05-2020,Kerala,1208,58
2537,01-06-2020,Kerala,1269,61
2573,02-06-2020,Kerala,1326,57
2609,03-06-2020,Kerala,1412,86
2645,04-06-2020,Kerala,1494,82
2681,05-06-2020,Kerala,1588,94
2717,06-06-2020,Kerala,1699,111
2753,07-06-2020,Kerala,1807,108
2789,08-06-2020,Kerala,1914,107
2825,09-06-2020,Kerala,2005,91
2861,10-06-2020,Kerala,2096,91
2898,11-06-2020,Kerala,2161,65
2934,12-06-2020,Kerala,2244,83
2970,13-06-2020,Kerala,2322,78
3006,14-06-2020,Kerala,2407,85
3042,15-06-2020,Kerala,2461,54
3078,16-06-2020,Kerala,2543,82
3114,17-06-2020,Kerala,2622,79
3150,18-06-2020,Kerala,2697,75
3186,19-06-2020,Kerala,2794,97
3222,20-06-2020,Kerala,2912,118
3258,21-06-2020,Kerala,3039,127
3294,22-06-2020,Kerala,3172,133
3330,23-06-2020,Kerala,3310,138
3366,24-06-2020,Kerala,3451,141
3402,25-06-2020,Kerala,3603,152
3438,26-06-2020,Kerala,3726,123
3474,27-06-2020,Kerala,3876,150
3510,28-06-2020,Kerala,4071,195
3546,29-06-2020,Kerala,4189,118
3582,30-06-2020,Kerala,4189,0
3618,01-07-2020,Kerala,4442,253
3654,02-07-2020,Kerala,4593,151
3690,03-07-2020,Kerala,4753,160
3726,04-07-2020,Kerala,4964,211
3762,05-07-2020,Kerala,5204,240
3798,06-07-2020,Kerala,5429,225
3834,07-07-2020,Kerala,5622,193
3870,08-07-2020,Kerala,5894,272
3906,09-07-2020,Kerala,6195,301
3942,10-07-2020,Kerala,6534,339
3978,11-07-2020,Kerala,6950,416
4014,12-07-2020,Kerala,7438,488
4050,13-07-2020,Kerala,7873,435
4086,14-07-2020,Kerala,8322,449
4122,15-07-2020,Kerala,8930,608
4158,16-07-2020,Kerala,9553,623
4194,17-07-2020,Kerala,10275,722
4230,18-07-2020,Kerala,11066,791
4266,19-07-2020,Kerala,11659,593
4301,20-07-2020,Kerala,12480,821
4336,21-07-2020,Kerala,13274,794
4371,22-07-2020,Kerala,13994,720
4406,23-07-2020,Kerala,15032,1038
4441,24-07-2020,Kerala,16110,1078
4476,25-07-2020,Kerala,16995,885
4511,26-07-2020,Kerala,18098,1103
4546,27-07-2020,Kerala,19025,927
4581,28-07-2020,Kerala,19727,702
4616,29-07-2020,Kerala,20894,1167
4651,30-07-2020,Kerala,21797,903
4686,31-07-2020,Kerala,22303,506
4721,01-08-2020,Kerala,23613,1310
4756,02-08-2020,Kerala,24742,1129
4791,03-08-2020,Kerala,25911,1169
4826,04-08-2020,Kerala,26873,962
4861,05-08-2020,Kerala,27956,1083
4896,06-08-2020,Kerala,29151,1195
4931,07-08-2020,Kerala,30449,1298
4966,08-08-2020,Kerala,31700,1251
5001,09-08-2020,Kerala,33120,1420
5036,10-08-2020,Kerala,34331,1211
5071,11-08-2020,Kerala,35515,1184
5106,12-08-2020,Kerala,36932,1417
5141,13-08-2020,Kerala,38144,1212
5176,14-08-2020,Kerala,39708,1564
5211,15-08-2020,Kerala,41277,1569
5246,16-08-2020,Kerala,42885,1608
5281,17-08-2020,Kerala,44415,1530
5316,18-08-2020,Kerala,46140,1725
5351,19-08-2020,Kerala,47898,1758
