Date,State,Confirmed,New Cases,T,H
10/03/2020,Maharashtra,5,3,26.13,69.0
11/03/2020,Maharashtra,8,3,25.53,60.0
12/03/2020,Maharashtra,11,3,24.8,56.0
13/03/2020,Maharashtra,14,3,23.87,52.0
14/03/2020,Maharashtra,14,0,24.47,50.0
15/03/2020,Maharashtra,32,18,25.6,45.0
16/03/2020,Maharashtra,32,0,27.2,47.0
17/03/2020,Maharashtra,39,7,26.67,56.0
18/03/2020,Maharashtra,42,3,27.13,61.0
19/03/2020,Maharashtra,47,5,26.6,62.0
20/03/2020,Maharashtra,52,5,26.93,65.0
21/03/2020,Maharashtra,63,11,26.2,70.0
22/03/2020,Maharashtra,67,4,27.0,72.0
23/03/2020,Maharashtra,74,7,28.47,63.0
24/03/2020,Maharashtra,89,15,29.47,70.0
25/03/2020,Maharashtra,128,39,28.8,71.0
26/03/2020,Maharashtra,129,1,28.73,78.0
27/03/2020,Maharashtra,130,1,28.53,66.0
28/03/2020,Maharashtra,180,50,28.0,54.0
29/03/2020,Maharashtra,186,6,29.4,49.0
30/03/2020,Maharashtra,198,12,27.73,66.0
31/03/2020,Maharashtra,216,18,27.8,73.0
01/04/2020,Maharashtra,302,86,28.13,68.0
02/04/2020,Maharashtra,335,33,29.07,68.0
03/04/2020,Maharashtra,335,0,29.13,65.0
04/04/2020,Maharashtra,490,155,28.8,72.0
05/04/2020,Maharashtra,490,0,28.87,76.0
06/04/2020,Maharashtra,748,258,28.33,78.0
07/04/2020,Maharashtra,868,120,27.4,79.0
08/04/2020,Maharashtra,1018,150,28.2,71.0
09/04/2020,Maharashtra,1135,117,28.13,71.0
10/04/2020,Maharashtra,1364,229,29.33,73.0
11/04/2020,Maharashtra,1574,210,30.33,66.0
12/04/2020,Maharashtra,1761,187,29.87,77.0
13/04/2020,Maharashtra,1985,224,29.8,78.0
14/04/2020,Maharashtra,2337,352,30.47,70.0
15/04/2020,Maharashtra,2687,350,30.33,75.0
16/04/2020,Maharashtra,2919,232,30.53,71.0
17/04/2020,Maharashtra,3205,286,30.13,75.0
18/04/2020,Maharashtra,3323,118,30.6,73.0
19/04/2020,Maharashtra,3651,328,30.8,69.0
20/04/2020,Maharashtra,4203,552,32.0,51.0
21/04/2020,Maharashtra,4669,466,30.73,65.0
22/04/2020,Maharashtra,5221,552,30.47,72.0
23/04/2020,Maharashtra,5652,431,30.87,70.0
24/04/2020,Maharashtra,6430,778,30.4,73.0
25/04/2020,Maharashtra,6817,387,30.47,67.0
26/04/2020,Maharashtra,7628,811,29.8,70.0
27/04/2020,Maharashtra,8068,440,29.8,70.0
28/04/2020,Maharashtra,8590,522,30.53,73.0
29/04/2020,Maharashtra,9318,728,31.33,73.0
30/04/2020,Maharashtra,9915,597,31.33,69.0
01/05/2020,Maharashtra,10498,583,30.73,72.0
02/05/2020,Maharashtra,11506,1008,30.73,74.0
03/05/2020,Maharashtra,12296,790,30.8,72.0
04/05/2020,Maharashtra,12974,678,30.53,71.0
05/05/2020,Maharashtra,14541,1567,30.73,73.0
06/05/2020,Maharashtra,15525,984,30.73,74.0
07/05/2020,Maharashtra,16758,1233,30.6,72.0
08/05/2020,Maharashtra,17974,1216,30.73,69.0
09/05/2020,Maharashtra,19063,1089,30.73,71.0
10/05/2020,Maharashtra,20228,1165,30.67,72.0
11/05/2020,Maharashtra,22171,1943,31.0,68.0
12/05/2020,Maharashtra,23401,1230,30.73,70.0
13/05/2020,Maharashtra,24427,1026,30.8,73.0
14/05/2020,Maharashtra,25922,1495,31.27,71.0
15/05/2020,Maharashtra,27524,1602,31.27,69.0
16/05/2020,Maharashtra,29100,1576,31.4,69.0
17/05/2020,Maharashtra,30706,1606,31.33,70.0
18/05/2020,Maharashtra,33053,2347,31.13,69.0
19/05/2020,Maharashtra,35058,2005,30.93,67.0
20/05/2020,Maharashtra,37136,2078,31.0,68.0
21/05/2020,Maharashtra,39297,2161,31.27,68.0
22/05/2020,Maharashtra,41642,2345,31.27,69.0
23/05/2020,Maharashtra,44582,2940,31.13,71.0
24/05/2020,Maharashtra,47190,2608,31.47,72.0
25/05/2020,Maharashtra,50231,3041,31.13,74.0
26/05/2020,Maharashtra,52667,2436,31.4,72.0
27/05/2020,Maharashtra,54758,2091,31.47,69.0
28/05/2020,Maharashtra,56948,2190,31.8,68.0
29/05/2020,Maharashtra,59546,2598,32.13,69.0
30/05/2020,Maharashtra,62228,2682,32.2,69.0
31/05/2020,Maharashtra,65168,2940,32.33,66.0
01/06/2020,Maharashtra,67655,2487,30.13,73.0
02/06/2020,Maharashtra,70013,2358,29.0,78.0
03/06/2020,Maharashtra,72300,2287,27.0,86.0
04/06/2020,Maharashtra,74860,2560,27.2,86.0
05/06/2020,Maharashtra,77793,2933,29.33,71.0
06/06/2020,Maharashtra,80229,2436,28.27,82.0
07/06/2020,Maharashtra,82968,2739,29.67,68.0
08/06/2020,Maharashtra,85975,3007,28.6,73.0
09/06/2020,Maharashtra,88528,2553,29.27,76.0
10/06/2020,Maharashtra,90787,2259,30.4,74.0
11/06/2020,Maharashtra,94041,3254,29.73,79.0
12/06/2020,Maharashtra,97648,3607,29.4,77.0
13/06/2020,Maharashtra,101141,3493,28.47,82.0
14/06/2020,Maharashtra,104568,3427,30.0,80.0
15/06/2020,Maharashtra,107958,3390,28.27,88.0
16/06/2020,Maharashtra,110744,2786,29.27,81.0
17/06/2020,Maharashtra,113445,2701,29.13,76.0
18/06/2020,Maharashtra,116752,3307,27.4,90.0
19/06/2020,Maharashtra,120504,3752,29.87,83.0
20/06/2020,Maharashtra,124331,3827,30.33,77.0
21/06/2020,Maharashtra,128205,3874,29.6,81.0
22/06/2020,Maharashtra,132075,3870,29.8,80.0
23/06/2020,Maharashtra,135796,3721,29.53,74.0
24/06/2020,Maharashtra,139010,3214,30.13,74.0
25/06/2020,Maharashtra,142900,3890,30.53,76.0
26/06/2020,Maharashtra,147741,4841,29.73,82.0
27/06/2020,Maharashtra,152765,5024,30.2,76.0
28/06/2020,Maharashtra,159133,6368,30.2,79.0
29/06/2020,Maharashtra,164626,5493,28.93,83.0
30/06/2020,Maharashtra,169883,5257,28.4,84.0
01/07/2020,Maharashtra,174761,4878,29.47,79.0
02/07/2020,Maharashtra,180298,5537,29.13,80.0
03/07/2020,Maharashtra,186626,6328,27.0,91.0
04/07/2020,Maharashtra,192990,6364,26.27,95.0
05/07/2020,Maharashtra,200064,7074,28.07,87.0
06/07/2020,Maharashtra,206619,6555,28.33,85.0
07/07/2020,Maharashtra,211987,5368,28.07,88.0
08/07/2020,Maharashtra,217121,5134,28.27,89.0
09/07/2020,Maharashtra,223724,6603,29.2,84.0
10/07/2020,Maharashtra,230599,6875,30.07,79.0
11/07/2020,Maharashtra,238461,7862,29.07,84.0
12/07/2020,Maharashtra,246600,8139,26.6,91.0
13/07/2020,Maharashtra,254427,7827,26.67,93.0
14/07/2020,Maharashtra,260924,6497,26.27,93.0
15/07/2020,Maharashtra,267665,6741,26.53,94.0
16/07/2020,Maharashtra,275640,7975,25.93,94.0
17/07/2020,Maharashtra,284281,8641,26.13,90.0
18/07/2020,Maharashtra,292589,8308,28.2,88.0
19/07/2020,Maharashtra,300937,8348,29.53,83.0
20/07/2020,Maharashtra,310455,9518,29.27,84.0
21/07/2020,Maharashtra,318695,8240,29.07,81.0
22/07/2020,Maharashtra,327031,8336,29.8,79.0
23/07/2020,Maharashtra,337607,10576,28.6,87.0
24/07/2020,Maharashtra,347502,9895,27.87,88.0
25/07/2020,Maharashtra,357117,9615,28.4,79.0
26/07/2020,Maharashtra,366368,9251,27.87,89.0
27/07/2020,Maharashtra,375799,9431,26.67,92.0
28/07/2020,Maharashtra,383723,7924,26.13,95.0
29/07/2020,Maharashtra,391440,7717,27.53,90.0
30/07/2020,Maharashtra,400651,9211,26.8,92.0
31/07/2020,Maharashtra,411798,11147,28.33,86.0
01/08/2020,Maharashtra,422118,10320,29.33,79.0
02/08/2020,Maharashtra,431719,9601,29.4,78.0
03/08/2020,Maharashtra,441228,9509,27.87,88.0
04/08/2020,Maharashtra,450196,8968,27.27,91.0
05/08/2020,Maharashtra,457956,7760,25.93,94.0
06/08/2020,Maharashtra,468265,10309,26.07,95.0
07/08/2020,Maharashtra,479779,11514,28.27,86.0
08/08/2020,Maharashtra,490262,10483,27.53,87.0
09/08/2020,Maharashtra,503084,12822,29.0,82.0
10/08/2020,Maharashtra,515332,12248,28.93,83.0
11/08/2020,Maharashtra,524513,9181,28.27,85.0
12/08/2020,Maharashtra,535601,11088,27.2,90.0
13/08/2020,Maharashtra,548313,12712,27.53,87.0
14/08/2020,Maharashtra,560126,11813,26.6,89.0
15/08/2020,Maharashtra,572734,12608,27.53,88.0
16/08/2020,Maharashtra,584754,12020,27.93,87.0
17/08/2020,Maharashtra,595865,11111,26.53,91.0
18/08/2020,Maharashtra,604358,8493,27.4,87.0
19/08/2020,Maharashtra,615477,11119,27.67,86.0
20/08/2020,Maharashtra,628642,13165,27.27,90.0
21/08/2020,Maharashtra,643289,14647,26.33,92.0
22/08/2020,Maharashtra,657450,14161,27.67,87.0
23/08/2020,Maharashtra,671942,14492,27.6,86.0
24/08/2020,Maharashtra,682383,10441,28.4,82.0
25/08/2020,Maharashtra,693398,11015,28.27,82.0
26/08/2020,Maharashtra,703823,10425,28.4,79.0
27/08/2020,Maharashtra,718711,14888,28.33,79.0
28/08/2020,Maharashtra,733568,14857,26.33,93.0
29/08/2020,Maharashtra,747995,14427,25.6,95.0
30/08/2020,Maharashtra,764281,16286,26.2,90.0
31/08/2020,Maharashtra,780689,16408,27.87,85.0
01/09/2020,Maharashtra,792541,11852,27.07,90.0
02/09/2020,Maharashtra,808306,15765,27.87,85.0
03/09/2020,Maharashtra,825739,17433,28.13,82.0
04/09/2020,Maharashtra,843844,18105,29.33,82.0
05/09/2020,Maharashtra,863062,19218,29.93,83.0
06/09/2020,Maharashtra,883862,20800,29.47,83.0
07/09/2020,Maharashtra,907212,23350,27.73,87.0
08/09/2020,Maharashtra,923641,16429,29.87,78.0
09/09/2020,Maharashtra,943772,20131,29.33,82.0
10/09/2020,Maharashtra,967349,23577,29.73,80.0
11/09/2020,Maharashtra,990795,23446,18.53,57.0
12/09/2020,Maharashtra,1015681,24886,27.73,86.0
13/09/2020,Maharashtra,1037765,22084,28.73,79.0
14/09/2020,Maharashtra,1060308,22543,26.93,87.0
15/09/2020,Maharashtra,1077374,17066,27.27,87.0
16/09/2020,Maharashtra,1097856,20482,27.67,89.0
17/09/2020,Maharashtra,1121221,23365,27.07,90.0
18/09/2020,Maharashtra,1145840,24619,18.53,55.0
19/09/2020,Maharashtra,1167496,21656,27.13,91.0
20/09/2020,Maharashtra,1188015,20519,28.4,83.0
21/09/2020,Maharashtra,1208642,20627,27.8,90.0
22/09/2020,Maharashtra,1224380,15738,26.53,94.0
23/09/2020,Maharashtra,1242770,18390,25.67,95.0
24/09/2020,Maharashtra,1263799,21029,27.13,93.0
25/09/2020,Maharashtra,1282963,19164,27.8,85.0
26/09/2020,Maharashtra,1300757,17794,28.47,78.0
27/09/2020,Maharashtra,1321176,20419,28.07,80.0
28/09/2020,Maharashtra,1339232,18056,28.2,80.0
29/09/2020,Maharashtra,1351153,11921,27.87,81.0
30/09/2020,Maharashtra,1366129,14976,27.93,79.0
01/10/2020,Maharashtra,1384446,18317,28.0,79.0
02/10/2020,Maharashtra,1400922,16476,28.73,80.0
03/10/2020,Maharashtra,1416513,15591,28.0,86.0
04/10/2020,Maharashtra,1430861,14348,26.6,89.0
05/10/2020,Maharashtra,1443409,12548,27.87,84.0
06/10/2020,Maharashtra,1453653,10244,28.13,83.0
