Date,State,Confirmed,New Cases,T,H
08/03/2020,Tamil Nadu,1,0,28.6,70.0
09/03/2020,Tamil Nadu,1,0,27.87,77.0
10/03/2020,Tamil Nadu,1,0,27.87,72.0
11/03/2020,Tamil Nadu,1,0,28.13,74.0
12/03/2020,Tamil Nadu,1,0,27.87,76.0
13/03/2020,Tamil Nadu,1,0,27.87,79.0
14/03/2020,Tamil Nadu,1,0,28.27,71.0
15/03/2020,Tamil Nadu,1,0,28.73,77.0
16/03/2020,Tamil Nadu,1,0,29.33,74.0
17/03/2020,Tamil Nadu,1,0,29.27,78.0
18/03/2020,Tamil Nadu,1,0,28.67,77.0
19/03/2020,Tamil Nadu,2,1,29.27,72.0
20/03/2020,Tamil Nadu,3,1,28.6,79.0
21/03/2020,Tamil Nadu,3,0,29.07,79.0
22/03/2020,Tamil Nadu,7,4,28.67,77.0
23/03/2020,Tamil Nadu,9,2,28.6,75.0
24/03/2020,Tamil Nadu,15,6,28.47,75.0
25/03/2020,Tamil Nadu,18,3,28.47,76.0
26/03/2020,Tamil Nadu,26,8,28.8,73.0
27/03/2020,Tamil Nadu,29,3,28.4,74.0
28/03/2020,Tamil Nadu,40,11,28.4,74.0
29/03/2020,Tamil Nadu,49,9,28.8,75.0
30/03/2020,Tamil Nadu,67,18,28.6,73.0
31/03/2020,Tamil Nadu,74,7,28.8,76.0
01/04/2020,Tamil Nadu,234,160,29.67,71.0
02/04/2020,Tamil Nadu,234,0,29.8,74.0
03/04/2020,Tamil Nadu,309,75,29.6,75.0
04/04/2020,Tamil Nadu,411,102,29.8,70.0
05/04/2020,Tamil Nadu,485,74,30.13,78.0
06/04/2020,Tamil Nadu,571,86,30.73,77.0
07/04/2020,Tamil Nadu,621,50,30.07,77.0
08/04/2020,Tamil Nadu,690,69,30.07,78.0
09/04/2020,Tamil Nadu,738,48,26.67,89.0
10/04/2020,Tamil Nadu,834,96,29.2,76.0
11/04/2020,Tamil Nadu,911,77,29.6,72.0
12/04/2020,Tamil Nadu,969,58,29.13,76.0
13/04/2020,Tamil Nadu,1075,106,29.4,73.0
14/04/2020,Tamil Nadu,1173,98,29.27,75.0
15/04/2020,Tamil Nadu,1204,31,30.07,73.0
16/04/2020,Tamil Nadu,1242,38,29.87,77.0
17/04/2020,Tamil Nadu,1267,25,30.6,73.0
18/04/2020,Tamil Nadu,1323,56,30.87,75.0
19/04/2020,Tamil Nadu,1372,49,30.87,74.0
20/04/2020,Tamil Nadu,1477,105,30.53,74.0
21/04/2020,Tamil Nadu,1520,43,31.27,69.0
22/04/2020,Tamil Nadu,1596,76,30.93,76.0
23/04/2020,Tamil Nadu,1629,33,31.33,74.0
24/04/2020,Tamil Nadu,1683,54,31.93,72.0
25/04/2020,Tamil Nadu,1755,72,31.67,76.0
26/04/2020,Tamil Nadu,1821,66,27.73,84.0
27/04/2020,Tamil Nadu,1885,64,30.13,81.0
28/04/2020,Tamil Nadu,1937,52,31.33,74.0
29/04/2020,Tamil Nadu,2058,121,31.2,65.0
30/04/2020,Tamil Nadu,2162,104,31.13,75.0
01/05/2020,Tamil Nadu,2323,161,31.6,71.0
02/05/2020,Tamil Nadu,2526,203,31.53,73.0
03/05/2020,Tamil Nadu,2757,231,31.53,74.0
04/05/2020,Tamil Nadu,3023,266,31.4,73.0
05/05/2020,Tamil Nadu,3550,527,31.6,71.0
06/05/2020,Tamil Nadu,4058,508,31.33,73.0
07/05/2020,Tamil Nadu,4829,771,32.0,68.0
08/05/2020,Tamil Nadu,5409,580,32.27,71.0
09/05/2020,Tamil Nadu,6009,600,32.07,71.0
10/05/2020,Tamil Nadu,6535,526,31.6,73.0
11/05/2020,Tamil Nadu,7204,669,31.67,74.0
12/05/2020,Tamil Nadu,8002,798,31.2,75.0
13/05/2020,Tamil Nadu,8718,716,31.07,70.0
14/05/2020,Tamil Nadu,9227,509,31.87,71.0
15/05/2020,Tamil Nadu,9674,447,32.4,70.0
16/05/2020,Tamil Nadu,10108,434,32.53,72.0
17/05/2020,Tamil Nadu,10585,477,31.4,69.0
18/05/2020,Tamil Nadu,11224,639,31.27,68.0
19/05/2020,Tamil Nadu,11760,536,34.2,59.0
20/05/2020,Tamil Nadu,12448,688,23.27,37.0
21/05/2020,Tamil Nadu,13191,743,11.13,17.0
22/05/2020,Tamil Nadu,13967,776,33.2,70.0
23/05/2020,Tamil Nadu,14753,786,31.87,79.0
24/05/2020,Tamil Nadu,15512,759,31.6,83.0
25/05/2020,Tamil Nadu,16277,765,32.2,77.0
26/05/2020,Tamil Nadu,17082,805,32.53,76.0
27/05/2020,Tamil Nadu,17728,646,32.13,80.0
28/05/2020,Tamil Nadu,18545,817,32.93,74.0
29/05/2020,Tamil Nadu,19372,827,32.93,67.0
30/05/2020,Tamil Nadu,20246,874,32.4,73.0
31/05/2020,Tamil Nadu,21184,938,31.93,74.0
01/06/2020,Tamil Nadu,22333,1149,32.07,73.0
02/06/2020,Tamil Nadu,23495,1162,32.33,69.0
03/06/2020,Tamil Nadu,24586,1091,32.67,63.0
04/06/2020,Tamil Nadu,25872,1286,33.0,69.0
05/06/2020,Tamil Nadu,27256,1384,32.13,74.0
06/06/2020,Tamil Nadu,28694,1438,31.67,69.0
07/06/2020,Tamil Nadu,30152,1458,32.13,65.0
08/06/2020,Tamil Nadu,31667,1515,32.8,61.0
09/06/2020,Tamil Nadu,33229,1562,32.27,67.0
10/06/2020,Tamil Nadu,34914,1685,31.53,70.0
11/06/2020,Tamil Nadu,36841,1927,28.4,78.0
12/06/2020,Tamil Nadu,38716,1875,31.87,53.0
13/06/2020,Tamil Nadu,40698,1982,32.73,63.0
14/06/2020,Tamil Nadu,42687,1989,33.47,59.0
15/06/2020,Tamil Nadu,44661,1974,33.87,61.0
16/06/2020,Tamil Nadu,46504,1843,32.53,68.0
17/06/2020,Tamil Nadu,48019,1515,33.2,67.0
18/06/2020,Tamil Nadu,50193,2174,33.53,60.0
19/06/2020,Tamil Nadu,52334,2141,32.47,69.0
20/06/2020,Tamil Nadu,54449,2115,31.73,69.0
21/06/2020,Tamil Nadu,56845,2396,30.67,77.0
22/06/2020,Tamil Nadu,59377,2532,29.93,70.0
23/06/2020,Tamil Nadu,62087,2710,30.4,71.0
24/06/2020,Tamil Nadu,64603,2516,30.73,70.0
25/06/2020,Tamil Nadu,67468,2865,30.2,78.0
26/06/2020,Tamil Nadu,70977,3509,31.13,71.0
27/06/2020,Tamil Nadu,74622,3645,30.53,81.0
28/06/2020,Tamil Nadu,78335,3713,30.53,76.0
29/06/2020,Tamil Nadu,82275,3940,30.2,79.0
30/06/2020,Tamil Nadu,86224,3949,29.93,71.0
01/07/2020,Tamil Nadu,90167,3943,30.8,76.0
02/07/2020,Tamil Nadu,94049,3882,30.0,77.0
03/07/2020,Tamil Nadu,98392,4343,28.67,77.0
04/07/2020,Tamil Nadu,102721,4329,28.8,81.0
05/07/2020,Tamil Nadu,107001,4280,30.13,75.0
06/07/2020,Tamil Nadu,111151,4150,30.27,75.0
07/07/2020,Tamil Nadu,114978,3827,31.07,66.0
08/07/2020,Tamil Nadu,118594,3616,30.07,73.0
09/07/2020,Tamil Nadu,122350,3756,30.6,73.0
10/07/2020,Tamil Nadu,126581,4231,28.67,80.0
11/07/2020,Tamil Nadu,130261,3680,28.93,80.0
12/07/2020,Tamil Nadu,134226,3965,27.2,85.0
13/07/2020,Tamil Nadu,138470,4244,28.67,81.0
14/07/2020,Tamil Nadu,142798,4328,28.73,80.0
15/07/2020,Tamil Nadu,147324,4526,28.4,80.0
16/07/2020,Tamil Nadu,151820,4496,28.33,82.0
17/07/2020,Tamil Nadu,156369,4549,29.8,79.0
18/07/2020,Tamil Nadu,160907,4538,29.4,76.0
19/07/2020,Tamil Nadu,165714,4807,28.2,89.0
20/07/2020,Tamil Nadu,170693,4979,29.67,76.0
21/07/2020,Tamil Nadu,175678,4985,30.53,73.0
22/07/2020,Tamil Nadu,180643,4965,30.13,73.0
23/07/2020,Tamil Nadu,186492,5849,30.2,78.0
24/07/2020,Tamil Nadu,192964,6472,30.0,79.0
25/07/2020,Tamil Nadu,199749,6785,29.0,75.0
26/07/2020,Tamil Nadu,206737,6988,28.67,77.0
27/07/2020,Tamil Nadu,213723,6986,30.73,74.0
28/07/2020,Tamil Nadu,220716,6993,26.2,85.0
29/07/2020,Tamil Nadu,227688,6972,26.67,90.0
30/07/2020,Tamil Nadu,234114,6426,29.8,78.0
31/07/2020,Tamil Nadu,239978,5864,30.4,79.0
01/08/2020,Tamil Nadu,245859,5881,29.2,79.0
02/08/2020,Tamil Nadu,251738,5879,28.87,77.0
03/08/2020,Tamil Nadu,257613,5875,28.13,81.0
04/08/2020,Tamil Nadu,263222,5609,29.27,72.0
05/08/2020,Tamil Nadu,268285,5063,30.0,67.0
06/08/2020,Tamil Nadu,273460,5175,30.4,77.0
07/08/2020,Tamil Nadu,279144,5684,30.33,78.0
08/08/2020,Tamil Nadu,285024,5880,29.27,75.0
09/08/2020,Tamil Nadu,290907,5883,27.87,81.0
10/08/2020,Tamil Nadu,296901,5994,29.33,78.0
11/08/2020,Tamil Nadu,302815,5914,29.0,77.0
12/08/2020,Tamil Nadu,308649,5834,28.8,79.0
13/08/2020,Tamil Nadu,314520,5871,29.27,74.0
14/08/2020,Tamil Nadu,320355,5835,28.73,78.0
15/08/2020,Tamil Nadu,326245,5890,28.53,74.0
16/08/2020,Tamil Nadu,332105,5860,28.47,75.0
17/08/2020,Tamil Nadu,338055,5950,29.47,76.0
18/08/2020,Tamil Nadu,343945,5890,29.73,77.0
19/08/2020,Tamil Nadu,349654,5709,29.8,73.0
20/08/2020,Tamil Nadu,355449,5795,30.07,77.0
21/08/2020,Tamil Nadu,361435,5986,30.27,78.0
22/08/2020,Tamil Nadu,367430,5995,29.87,80.0
23/08/2020,Tamil Nadu,373410,5980,29.13,83.0
24/08/2020,Tamil Nadu,379385,5975,28.27,79.0
25/08/2020,Tamil Nadu,385352,5967,28.8,87.0
26/08/2020,Tamil Nadu,391303,5951,27.73,89.0
27/08/2020,Tamil Nadu,397261,5958,28.13,76.0
28/08/2020,Tamil Nadu,403242,5981,29.67,80.0
29/08/2020,Tamil Nadu,409238,5996,29.8,82.0
30/08/2020,Tamil Nadu,415590,6352,30.53,78.0
31/08/2020,Tamil Nadu,422085,6495,29.53,78.0
01/09/2020,Tamil Nadu,428041,5956,28.33,80.0
02/09/2020,Tamil Nadu,433969,5928,29.73,80.0
03/09/2020,Tamil Nadu,439959,5990,30.2,79.0
04/09/2020,Tamil Nadu,445851,5892,29.6,77.0
05/09/2020,Tamil Nadu,451827,5976,29.27,78.0
06/09/2020,Tamil Nadu,457697,5870,29.47,80.0
07/09/2020,Tamil Nadu,463480,5783,28.53,80.0
08/09/2020,Tamil Nadu,469256,5776,29.87,78.0
09/09/2020,Tamil Nadu,474940,5684,28.47,79.0
10/09/2020,Tamil Nadu,480524,5584,28.73,84.0
11/09/2020,Tamil Nadu,486052,5528,30.47,68.0
12/09/2020,Tamil Nadu,491571,5519,27.6,82.0
13/09/2020,Tamil Nadu,497066,5495,26.13,92.0
14/09/2020,Tamil Nadu,502759,5693,27.33,77.0
15/09/2020,Tamil Nadu,508511,5752,28.0,80.0
16/09/2020,Tamil Nadu,514208,5697,29.2,82.0
17/09/2020,Tamil Nadu,519860,5652,28.4,85.0
18/09/2020,Tamil Nadu,525420,5560,28.07,81.0
19/09/2020,Tamil Nadu,530908,5488,26.93,85.0
20/09/2020,Tamil Nadu,536477,5569,27.33,77.0
21/09/2020,Tamil Nadu,541993,5516,28.6,72.0
22/09/2020,Tamil Nadu,547337,5344,29.67,76.0
23/09/2020,Tamil Nadu,552674,5337,29.67,73.0
24/09/2020,Tamil Nadu,557999,5325,29.53,75.0
25/09/2020,Tamil Nadu,563691,5692,28.07,79.0
26/09/2020,Tamil Nadu,569370,5679,28.47,83.0
27/09/2020,Tamil Nadu,575017,5647,29.53,78.0
28/09/2020,Tamil Nadu,580808,5791,26.6,85.0
29/09/2020,Tamil Nadu,586397,5589,25.93,89.0
30/09/2020,Tamil Nadu,591943,5546,27.4,78.0
01/10/2020,Tamil Nadu,597602,5659,29.07,77.0
02/10/2020,Tamil Nadu,603290,5688,30.0,77.0
03/10/2020,Tamil Nadu,608885,5595,29.73,74.0
04/10/2020,Tamil Nadu,614507,5622,29.67,71.0
05/10/2020,Tamil Nadu,619996,5489,30.33,68.0
06/10/2020,Tamil Nadu,625391,5395,31.07,77.0
07/10/2020,Tamil Nadu,630408,5017,29.4,81.0
08/10/2020,Tamil Nadu,635855,5447,29.53,81.0
09/10/2020,Tamil Nadu,640943,5088,28.2,85.0
10/10/2020,Tamil Nadu,646128,5185,28.47,83.0
11/10/2020,Tamil Nadu,651370,5242,28.2,80.0
12/10/2020,Tamil Nadu,656385,5015,27.2,86.0
13/10/2020,Tamil Nadu,661264,4879,30.07,67.0
14/10/2020,Tamil Nadu,665930,4666,29.13,63.0
15/10/2020,Tamil Nadu,670392,4462,29.27,73.0
16/10/2020,Tamil Nadu,674802,4410,30.13,77.0
17/10/2020,Tamil Nadu,679191,4389,27.87,86.0
18/10/2020,Tamil Nadu,683486,4295,25.73,93.0
19/10/2020,Tamil Nadu,687400,3914,28.33,83.0
20/10/2020,Tamil Nadu,690936,3536,27.47,86.0
21/10/2020,Tamil Nadu,694030,3094,27.67,85.0
22/10/2020,Tamil Nadu,697116,3086,25.6,92.0
23/10/2020,Tamil Nadu,700193,3077,28.07,84.0
24/10/2020,Tamil Nadu,703250,3057,26.8,85.0
25/10/2020,Tamil Nadu,706136,2886,28.27,80.0
26/10/2020,Tamil Nadu,709005,2869,28.47,78.0
27/10/2020,Tamil Nadu,711713,2708,28.07,83.0
28/10/2020,Tamil Nadu,714235,2522,27.4,79.0
29/10/2020,Tamil Nadu,716751,2516,24.8,87.0
30/10/2020,Tamil Nadu,719403,2652,27.47,76.0
31/10/2020,Tamil Nadu,722011,2608,27.8,75.0
01/11/2020,Tamil Nadu,724522,2511,27.73,80.0
02/11/2020,Tamil Nadu,727026,2504,28.27,83.0
03/11/2020,Tamil Nadu,729507,2481,29.07,79.0
04/11/2020,Tamil Nadu,731942,2435,27.6,88.0
05/11/2020,Tamil Nadu,734429,2487,27.8,85.0
06/11/2020,Tamil Nadu,736777,2348,27.47,88.0
07/11/2020,Tamil Nadu,739147,2370,26.8,91.0
08/11/2020,Tamil Nadu,741488,2341,27.4,79.0
09/11/2020,Tamil Nadu,743822,2334,27.13,74.0
10/11/2020,Tamil Nadu,746079,2257,26.33,76.0
11/11/2020,Tamil Nadu,748225,2146,25.67,89.0
12/11/2020,Tamil Nadu,750409,2184,25.8,91.0
13/11/2020,Tamil Nadu,752521,2112,27.4,88.0
14/11/2020,Tamil Nadu,754460,1939,28.6,77.0
15/11/2020,Tamil Nadu,756372,1912,26.87,90.0
16/11/2020,Tamil Nadu,758191,1819,25.47,93.0
17/11/2020,Tamil Nadu,759916,1725,26.07,90.0
18/11/2020,Tamil Nadu,761568,1652,27.27,87.0
19/11/2020,Tamil Nadu,763282,1714,27.67,86.0
20/11/2020,Tamil Nadu,764989,1707,26.53,83.0
21/11/2020,Tamil Nadu,766677,1688,25.73,76.0
22/11/2020,Tamil Nadu,768340,1663,26.4,76.0
23/11/2020,Tamil Nadu,769995,1655,26.53,85.0
24/11/2020,Tamil Nadu,771619,1624,24.73,93.0
25/11/2020,Tamil Nadu,773176,1557,24.4,97.0
26/11/2020,Tamil Nadu,774710,1534,22.73,95.0
27/11/2020,Tamil Nadu,776174,1464,24.33,81.0
28/11/2020,Tamil Nadu,777616,1442,26.53,82.0
29/11/2020,Tamil Nadu,779046,1430,25.73,87.0
30/11/2020,Tamil Nadu,780505,1459,26.0,84.0
01/12/2020,Tamil Nadu,781915,1410,26.07,77.0
02/12/2020,Tamil Nadu,783319,1404,25.53,88.0
03/12/2020,Tamil Nadu,784747,1428,25.0,92.0
04/12/2020,Tamil Nadu,786163,1416,24.6,93.0
