,Date,State/UnionTerritory,Confirmed,new_cases
66,08-03-2020,Tamil Nadu,1,0
78,09-03-2020,Tamil Nadu,1,0
93,10-03-2020,Tamil Nadu,1,0
104,11-03-2020,Tamil Nadu,1,0
115,12-03-2020,Tamil Nadu,1,0
128,13-03-2020,Tamil Nadu,1,0
141,14-03-2020,Tamil Nadu,1,0
155,15-03-2020,Tamil Nadu,1,0
170,16-03-2020,Tamil Nadu,1,0
185,17-03-2020,Tamil Nadu,1,0
201,18-03-2020,Tamil Nadu,1,0
219,19-03-2020,Tamil Nadu,2,1
239,20-03-2020,Tamil Nadu,3,1
261,21-03-2020,Tamil Nadu,3,0
284,22-03-2020,Tamil Nadu,7,4
307,23-03-2020,Tamil Nadu,9,2
331,24-03-2020,Tamil Nadu,15,6
356,25-03-2020,Tamil Nadu,18,3
386,26-03-2020,Tamil Nadu,26,8
413,27-03-2020,Tamil Nadu,29,3
440,28-03-2020,Tamil Nadu,40,11
467,29-03-2020,Tamil Nadu,49,9
494,30-03-2020,Tamil Nadu,67,18
522,31-03-2020,Tamil Nadu,74,7
552,01-04-2020,Tamil Nadu,234,160
581,02-04-2020,Tamil Nadu,234,0
611,03-04-2020,Tamil Nadu,309,75
642,04-04-2020,Tamil Nadu,411,102
672,05-04-2020,Tamil Nadu,485,74
702,06-04-2020,Tamil Nadu,571,86
732,07-04-2020,Tamil Nadu,621,50
763,08-04-2020,Tamil Nadu,690,69
794,09-04-2020,Tamil Nadu,738,48
825,10-04-2020,Tamil Nadu,834,96
856,11-04-2020,Tamil Nadu,911,77
887,12-04-2020,Tamil Nadu,969,58
919,13-04-2020,Tamil Nadu,1075,106
952,14-04-2020,Tamil Nadu,1173,98
985,15-04-2020,Tamil Nadu,1204,31
1018,16-04-2020,Tamil Nadu,1242,38
1051,17-04-2020,Tamil Nadu,1267,25
1084,18-04-2020,Tamil Nadu,1323,56
1117,19-04-2020,Tamil Nadu,1372,49
1150,20-04-2020,Tamil Nadu,1477,105
1183,21-04-2020,Tamil Nadu,1520,43
1215,22-04-2020,Tamil Nadu,1596,76
1247,23-04-2020,Tamil Nadu,1629,33
1279,24-04-2020,Tamil Nadu,1683,54
1311,25-04-2020,Tamil Nadu,1755,72
1343,26-04-2020,Tamil Nadu,1821,66
1375,27-04-2020,Tamil Nadu,1885,64
1407,28-04-2020,Tamil Nadu,1937,52
1439,29-04-2020,Tamil Nadu,2058,121
1471,30-04-2020,Tamil Nadu,2162,104
1503,01-05-2020,Tamil Nadu,2323,161
1535,02-05-2020,Tamil Nadu,2526,203
1567,03-05-2020,Tamil Nadu,2757,231
1599,04-05-2020,Tamil Nadu,3023,266
1631,05-05-2020,Tamil Nadu,3550,527
1664,06-05-2020,Tamil Nadu,4058,508
1697,07-05-2020,Tamil Nadu,4829,771
1730,08-05-2020,Tamil Nadu,5409,580
1763,09-05-2020,Tamil Nadu,6009,600
1796,10-05-2020,Tamil Nadu,6535,526
1829,11-05-2020,Tamil Nadu,7204,669
1862,12-05-2020,Tamil Nadu,8002,798
1895,13-05-2020,Tamil Nadu,8718,716
1928,14-05-2020,Tamil Nadu,9227,509
1961,15-05-2020,Tamil Nadu,9674,447
1994,16-05-2020,Tamil Nadu,10108,434
2027,17-05-2020,Tamil Nadu,10585,477
