,Date,T,U
0,08.03.2020,28.6,70.0
0,09.03.2020,27.87,77.0
0,10.03.2020,27.87,72.0
0,11.03.2020,28.13,74.0
0,12.03.2020,27.87,76.0
0,13.03.2020,27.87,79.0
0,14.03.2020,28.27,71.0
0,15.03.2020,28.73,77.0
0,16.03.2020,29.33,74.0
0,17.03.2020,29.27,78.0
0,18.03.2020,28.67,77.0
0,19.03.2020,29.27,72.0
0,20.03.2020,28.6,79.0
0,21.03.2020,29.07,79.0
0,22.03.2020,28.67,77.0
0,23.03.2020,28.6,75.0
0,24.03.2020,28.47,75.0
0,25.03.2020,28.47,76.0
0,26.03.2020,28.8,73.0
0,27.03.2020,28.4,74.0
0,28.03.2020,28.4,74.0
0,29.03.2020,28.8,75.0
0,30.03.2020,28.6,73.0
0,31.03.2020,28.8,76.0
0,01.04.2020,29.67,71.0
0,02.04.2020,29.8,74.0
0,03.04.2020,29.6,75.0
0,04.04.2020,29.8,70.0
0,05.04.2020,30.13,78.0
0,06.04.2020,30.73,77.0
0,07.04.2020,30.07,77.0
0,08.04.2020,30.07,78.0
0,09.04.2020,26.67,89.0
0,10.04.2020,29.2,76.0
0,11.04.2020,29.6,72.0
0,12.04.2020,29.13,76.0
0,13.04.2020,29.4,73.0
0,14.04.2020,29.27,75.0
0,15.04.2020,30.07,73.0
0,16.04.2020,29.87,77.0
0,17.04.2020,30.6,73.0
0,18.04.2020,30.87,75.0
0,19.04.2020,30.87,74.0
0,20.04.2020,30.53,74.0
0,21.04.2020,31.27,69.0
0,22.04.2020,30.93,76.0
0,23.04.2020,31.33,74.0
0,24.04.2020,31.93,72.0
0,25.04.2020,31.67,76.0
0,26.04.2020,27.73,84.0
0,27.04.2020,30.13,81.0
0,28.04.2020,31.33,74.0
0,29.04.2020,31.2,65.0
0,30.04.2020,31.13,75.0
0,01.05.2020,31.6,71.0
0,02.05.2020,31.53,73.0
0,03.05.2020,31.53,74.0
0,04.05.2020,31.4,73.0
0,05.05.2020,31.6,71.0
0,06.05.2020,31.33,73.0
0,07.05.2020,32.0,68.0
0,08.05.2020,32.27,71.0
0,09.05.2020,32.07,71.0
0,10.05.2020,31.6,73.0
0,11.05.2020,31.67,74.0
0,12.05.2020,31.2,75.0
0,13.05.2020,31.07,70.0
0,14.05.2020,31.87,71.0
0,15.05.2020,32.4,70.0
0,16.05.2020,32.53,72.0
0,17.05.2020,31.4,69.0
0,18.05.2020,31.27,68.0
0,19.05.2020,34.2,59.0
0,20.05.2020,23.27,37.0
0,21.05.2020,11.13,17.0
0,22.05.2020,33.2,70.0
0,23.05.2020,31.87,79.0
