,Date,State/UnionTerritory,Confirmed,new_cases,T,H
1,01-02-2020,Kerala,2,1.0,29.67,67.0
2,02-02-2020,Kerala,3,1.0,30.33,69.0
3,03-02-2020,Kerala,3,0.0,19.67,44.0
4,04-02-2020,Kerala,3,0.0,30.0,69.0
5,05-02-2020,Kerala,3,0.0,29.67,69.0
6,06-02-2020,Kerala,3,0.0,29.67,69.0
7,07-02-2020,Kerala,3,0.0,29.67,71.0
8,08-02-2020,Kerala,3,0.0,30.0,70.0
9,09-02-2020,Kerala,3,0.0,30.0,72.0
10,10-02-2020,Kerala,3,0.0,30.0,74.0
11,11-02-2020,Kerala,3,0.0,30.33,70.0
12,12-02-2020,Kerala,3,0.0,31.0,67.0
13,13-02-2020,Kerala,3,0.0,30.33,73.0
14,14-02-2020,Kerala,3,0.0,30.67,70.0
15,15-02-2020,Kerala,3,0.0,29.67,73.0
16,16-02-2020,Kerala,3,0.0,30.67,66.0
17,17-02-2020,Kerala,3,0.0,30.33,72.0
18,18-02-2020,Kerala,3,0.0,29.67,69.0
19,19-02-2020,Kerala,3,0.0,29.67,66.0
20,20-02-2020,Kerala,3,0.0,29.33,67.0
21,21-02-2020,Kerala,3,0.0,30.67,63.0
22,22-02-2020,Kerala,3,0.0,30.33,68.0
23,23-02-2020,Kerala,3,0.0,30.67,60.0
24,24-02-2020,Kerala,3,0.0,30.67,62.0
25,25-02-2020,Kerala,3,0.0,30.67,60.0
26,26-02-2020,Kerala,3,0.0,30.0,65.0
27,27-02-2020,Kerala,3,0.0,30.33,65.0
28,28-02-2020,Kerala,3,0.0,31.0,60.0
29,29-02-2020,Kerala,3,0.0,30.33,55.0
30,01-03-2020,Kerala,3,0.0,31.0,55.0
32,02-03-2020,Kerala,3,0.0,20.67,42.0
36,03-03-2020,Kerala,3,0.0,30.0,74.0
39,04-03-2020,Kerala,3,0.0,31.33,68.0
46,05-03-2020,Kerala,3,0.0,28.33,76.0
52,06-03-2020,Kerala,3,0.0,31.0,64.0
56,07-03-2020,Kerala,3,0.0,30.67,66.0
68,08-03-2020,Kerala,8,5.0,30.33,63.0
74,09-03-2020,Kerala,9,1.0,30.67,66.0
89,10-03-2020,Kerala,15,6.0,31.0,68.0
99,11-03-2020,Kerala,17,2.0,31.0,67.0
110,12-03-2020,Kerala,17,0.0,30.67,66.0
123,13-03-2020,Kerala,19,2.0,31.67,56.0
136,14-03-2020,Kerala,19,0.0,30.67,64.0
151,15-03-2020,Kerala,22,3.0,30.67,64.0
165,16-03-2020,Kerala,23,1.0,31.0,59.0
180,17-03-2020,Kerala,26,3.0,31.33,67.0
195,18-03-2020,Kerala,27,1.0,32.33,59.0
213,19-03-2020,Kerala,27,0.0,31.33,60.0
233,20-03-2020,Kerala,28,1.0,31.33,68.0
254,21-03-2020,Kerala,40,12.0,31.33,67.0
277,22-03-2020,Kerala,52,12.0,31.33,65.0
300,23-03-2020,Kerala,67,15.0,31.0,68.0
323,24-03-2020,Kerala,95,28.0,20.67,43.0
347,25-03-2020,Kerala,109,14.0,31.67,68.0
376,26-03-2020,Kerala,118,9.0,31.0,64.0
403,27-03-2020,Kerala,137,19.0,31.67,57.0
430,28-03-2020,Kerala,176,39.0,31.33,60.0
457,29-03-2020,Kerala,182,6.0,31.33,67.0
484,30-03-2020,Kerala,202,20.0,31.33,67.0
512,31-03-2020,Kerala,234,32.0,31.33,67.0
542,01-04-2020,Kerala,241,7.0,31.0,66.0
571,02-04-2020,Kerala,265,24.0,31.0,64.0
601,03-04-2020,Kerala,286,21.0,31.67,64.0
