,Date,State/UnionTerritory,Confirmed,new_cases,T,H
66,08-03-2020,Tamil Nadu,1,0.0,31.2,63.0
78,09-03-2020,Tamil Nadu,1,0.0,30.67,61.0
93,10-03-2020,Tamil Nadu,1,0.0,30.8,60.0
104,11-03-2020,Tamil Nadu,1,0.0,30.73,63.0
115,12-03-2020,Tamil Nadu,1,0.0,30.6,64.0
128,13-03-2020,Tamil Nadu,1,0.0,30.8,66.0
141,14-03-2020,Tamil Nadu,1,0.0,30.4,62.0
155,15-03-2020,Tamil Nadu,1,0.0,31.27,63.0
170,16-03-2020,Tamil Nadu,1,0.0,32.33,60.0
185,17-03-2020,Tamil Nadu,1,0.0,32.0,62.0
201,18-03-2020,Tamil Nadu,1,0.0,31.47,64.0
219,19-03-2020,Tamil Nadu,2,1.0,32.6,58.0
239,20-03-2020,Tamil Nadu,3,1.0,32.0,64.0
261,21-03-2020,Tamil Nadu,3,0.0,32.2,65.0
284,22-03-2020,Tamil Nadu,7,4.0,31.73,66.0
307,23-03-2020,Tamil Nadu,9,2.0,31.53,63.0
331,24-03-2020,Tamil Nadu,15,6.0,31.13,63.0
356,25-03-2020,Tamil Nadu,18,3.0,31.4,65.0
386,26-03-2020,Tamil Nadu,26,8.0,31.4,60.0
413,27-03-2020,Tamil Nadu,29,3.0,31.87,59.0
440,28-03-2020,Tamil Nadu,40,11.0,31.2,61.0
467,29-03-2020,Tamil Nadu,49,9.0,31.2,54.0
494,30-03-2020,Tamil Nadu,67,18.0,32.13,59.0
522,31-03-2020,Tamil Nadu,74,7.0,31.73,63.0
552,01-04-2020,Tamil Nadu,234,160.0,33.0,57.0
581,02-04-2020,Tamil Nadu,234,0.0,33.13,56.0
611,03-04-2020,Tamil Nadu,309,75.0,32.73,61.0
642,04-04-2020,Tamil Nadu,411,102.0,32.4,57.0
672,05-04-2020,Tamil Nadu,485,74.0,32.93,67.0
702,06-04-2020,Tamil Nadu,571,86.0,33.33,65.0
732,07-04-2020,Tamil Nadu,621,50.0,33.2,61.0
763,08-04-2020,Tamil Nadu,690,69.0,32.87,67.0
794,09-04-2020,Tamil Nadu,738,48.0,32.73,71.0
825,10-04-2020,Tamil Nadu,834,96.0,31.87,62.0
856,11-04-2020,Tamil Nadu,911,77.0,32.4,59.0
887,12-04-2020,Tamil Nadu,969,58.0,32.13,64.0
919,13-04-2020,Tamil Nadu,1075,106.0,32.47,61.0
952,14-04-2020,Tamil Nadu,1173,98.0,31.93,64.0
985,15-04-2020,Tamil Nadu,1204,31.0,32.73,62.0
1018,16-04-2020,Tamil Nadu,1242,38.0,32.6,62.0
1051,17-04-2020,Tamil Nadu,1267,25.0,33.6,58.0
1084,18-04-2020,Tamil Nadu,1323,56.0,34.2,60.0
1117,19-04-2020,Tamil Nadu,1372,49.0,33.73,62.0
1150,20-04-2020,Tamil Nadu,1477,105.0,33.4,61.0
1183,21-04-2020,Tamil Nadu,1520,43.0,33.93,59.0
1215,22-04-2020,Tamil Nadu,1596,76.0,33.93,59.0
1247,23-04-2020,Tamil Nadu,1629,33.0,34.53,58.0
1279,24-04-2020,Tamil Nadu,1683,54.0,34.53,63.0
1311,25-04-2020,Tamil Nadu,1755,72.0,35.4,55.0
1343,26-04-2020,Tamil Nadu,1821,66.0,27.13,84.0
1375,27-04-2020,Tamil Nadu,1885,64.0,32.47,68.0
1407,28-04-2020,Tamil Nadu,1937,52.0,33.33,64.0
1439,29-04-2020,Tamil Nadu,2058,121.0,31.87,58.0
1471,30-04-2020,Tamil Nadu,2162,104.0,,
1503,01-05-2020,Tamil Nadu,2323,161.0,34.73,57.0
1535,02-05-2020,Tamil Nadu,2526,203.0,34.47,61.0
1567,03-05-2020,Tamil Nadu,2757,231.0,34.73,59.0
1599,04-05-2020,Tamil Nadu,3023,266.0,34.4,64.0
1631,05-05-2020,Tamil Nadu,3550,527.0,34.93,58.0
1664,06-05-2020,Tamil Nadu,4058,508.0,33.73,62.0
1697,07-05-2020,Tamil Nadu,4829,771.0,35.53,52.0
1730,08-05-2020,Tamil Nadu,5409,580.0,35.33,60.0
1763,09-05-2020,Tamil Nadu,6009,600.0,34.93,58.0
1796,10-05-2020,Tamil Nadu,6535,526.0,34.0,62.0
1829,11-05-2020,Tamil Nadu,7204,669.0,34.27,62.0
1862,12-05-2020,Tamil Nadu,8002,798.0,33.13,69.0
1895,13-05-2020,Tamil Nadu,8718,716.0,34.4,55.0
1928,14-05-2020,Tamil Nadu,9227,509.0,34.27,61.0
1961,15-05-2020,Tamil Nadu,9674,447.0,34.47,62.0
1994,16-05-2020,Tamil Nadu,10108,434.0,35.53,58.0
2027,17-05-2020,Tamil Nadu,10585,477.0,34.47,57.0
2060,18-05-2020,Tamil Nadu,11224,639.0,35.13,53.0
2093,19-05-2020,Tamil Nadu,11760,536.0,36.13,49.0
2126,20-05-2020,Tamil Nadu,12448,688.0,37.87,44.0
2160,21-05-2020,Tamil Nadu,13191,743.0,23.87,33.0
2194,22-05-2020,Tamil Nadu,13967,776.0,37.0,51.0
2228,23-05-2020,Tamil Nadu,14753,786.0,35.6,62.0
2263,24-05-2020,Tamil Nadu,15512,759.0,35.2,67.0
2298,25-05-2020,Tamil Nadu,16277,765.0,35.07,61.0
2334,26-05-2020,Tamil Nadu,17082,805.0,35.47,62.0
2370,27-05-2020,Tamil Nadu,17728,646.0,35.27,64.0
2406,28-05-2020,Tamil Nadu,18545,817.0,36.13,60.0
2442,29-05-2020,Tamil Nadu,19372,827.0,36.47,49.0
2478,30-05-2020,Tamil Nadu,20246,874.0,35.93,57.0
2514,31-05-2020,Tamil Nadu,21184,938.0,35.0,60.0
2550,01-06-2020,Tamil Nadu,22333,1149.0,34.87,60.0
2586,02-06-2020,Tamil Nadu,23495,1162.0,35.33,55.0
2622,03-06-2020,Tamil Nadu,24586,1091.0,35.93,46.0
2658,04-06-2020,Tamil Nadu,25872,1286.0,36.0,54.0
2694,05-06-2020,Tamil Nadu,27256,1384.0,35.33,55.0
2730,06-06-2020,Tamil Nadu,28694,1438.0,35.07,53.0
2766,07-06-2020,Tamil Nadu,30152,1458.0,35.13,48.0
2802,08-06-2020,Tamil Nadu,31667,1515.0,36.07,46.0
