Date,T,U
11.08.2021 23:30,26,89
11.08.2021 23:00,26,94
11.08.2021 22:30,26,94
11.08.2021 22:00,26,89
11.08.2021 21:30,26,89
11.08.2021 21:00,26,89
11.08.2021 20:30,26,94
11.08.2021 20:00,26,94
11.08.2021 19:30,27,89
11.08.2021 19:00,27,84
11.08.2021 18:30,26,94
11.08.2021 18:00,26,94
11.08.2021 17:30,27,89
11.08.2021 17:00,28,84
11.08.2021 16:30,29,79
11.08.2021 16:00,27,89
11.08.2021 15:30,28,84
11.08.2021 15:00,28,89
11.08.2021 14:30,28,89
11.08.2021 14:00,28,89
11.08.2021 13:30,29,84
11.08.2021 13:00,29,84
11.08.2021 12:30,28,89
11.08.2021 12:00,28,94
11.08.2021 11:30,28,94
11.08.2021 10:30,28,89
11.08.2021 10:00,28,89
11.08.2021 09:30,28,89
11.08.2021 09:00,28,89
11.08.2021 08:30,28,89
11.08.2021 08:00,27,94
11.08.2021 07:30,26,100
11.08.2021 07:00,26,100
11.08.2021 06:30,26,94
11.08.2021 06:00,26,100
11.08.2021 05:30,26,94
11.08.2021 05:00,26,94
11.08.2021 04:30,26,94
11.08.2021 04:00,26,94
11.08.2021 03:30,26,94
11.08.2021 03:00,26,100
11.08.2021 02:30,26,100
11.08.2021 02:00,26,100
11.08.2021 01:30,26,100
11.08.2021 01:00,26,94
11.08.2021 00:30,26,94
11.08.2021 00:00,26,94
10.08.2021 23:30,26,94
10.08.2021 23:00,26,94
10.08.2021 22:30,26,94
10.08.2021 22:00,27,84
10.08.2021 21:30,27,84
10.08.2021 21:00,27,84
10.08.2021 20:30,27,89
10.08.2021 20:00,27,89
10.08.2021 19:30,27,89
10.08.2021 19:00,27,89
10.08.2021 18:30,27,89
10.08.2021 18:00,27,89
10.08.2021 17:30,27,89
10.08.2021 17:00,28,79
10.08.2021 16:30,29,74
10.08.2021 16:00,29,79
10.08.2021 15:30,29,84
10.08.2021 15:00,28,89
10.08.2021 14:30,29,84
10.08.2021 14:00,30,79
10.08.2021 13:30,29,79
10.08.2021 13:00,30,79
10.08.2021 12:30,29,74
10.08.2021 12:00,29,74
10.08.2021 11:30,29,74
10.08.2021 11:00,28,79
10.08.2021 10:30,30,70
10.08.2021 10:00,29,74
10.08.2021 09:30,29,74
10.08.2021 09:00,28,79
10.08.2021 08:30,27,84
10.08.2021 08:00,27,84
10.08.2021 07:30,26,89
10.08.2021 07:00,26,89
10.08.2021 06:30,26,89
10.08.2021 06:00,26,89
10.08.2021 05:30,26,89
10.08.2021 05:00,26,94
10.08.2021 04:30,26,89
10.08.2021 04:00,26,89
10.08.2021 03:30,26,89
10.08.2021 03:00,26,89
10.08.2021 02:30,26,89
10.08.2021 02:00,26,89
10.08.2021 01:30,26,89
10.08.2021 01:00,26,89
10.08.2021 00:30,26,89
10.08.2021 00:00,26,89
09.08.2021 23:30,26,89
09.08.2021 23:00,26,89
09.08.2021 22:30,26,89
09.08.2021 22:00,26,89
09.08.2021 21:30,26,89
09.08.2021 21:00,26,89
09.08.2021 20:30,26,94
09.08.2021 20:00,27,89
09.08.2021 19:30,27,89
09.08.2021 19:00,27,89
09.08.2021 18:30,27,89
09.08.2021 18:00,28,84
09.08.2021 17:30,28,84
09.08.2021 17:00,28,84
09.08.2021 16:30,28,84
09.08.2021 16:00,28,84
09.08.2021 15:30,28,84
09.08.2021 15:00,29,79
09.08.2021 14:30,29,79
09.08.2021 14:00,29,79
09.08.2021 13:30,29,84
09.08.2021 13:00,29,89
09.08.2021 12:30,28,89
09.08.2021 12:00,29,84
09.08.2021 11:30,29,89
09.08.2021 11:00,29,89
09.08.2021 10:30,28,100
09.08.2021 10:00,28,94
09.08.2021 09:30,29,94
09.08.2021 09:00,29,94
09.08.2021 08:30,28,94
09.08.2021 08:00,27,94
09.08.2021 07:30,26,94
09.08.2021 07:00,25,94
09.08.2021 06:30,25,100
09.08.2021 06:00,25,94
09.08.2021 05:30,25,100
09.08.2021 05:00,25,100
09.08.2021 04:30,26,94
09.08.2021 04:00,26,94
09.08.2021 03:30,26,94
09.08.2021 03:00,26,94
09.08.2021 02:30,26,94
09.08.2021 02:00,26,94
09.08.2021 01:30,25,100
09.08.2021 01:00,25,100
09.08.2021 00:30,26,94
09.08.2021 00:00,26,100
08.08.2021 23:30,26,100
