Date,T,U
11.08.2021 23:30,28.6,76
11.08.2021 20:30,28.8,76
11.08.2021 17:30,30.4,68
11.08.2021 14:30,31.4,67
11.08.2021 11:30,30.6,69
11.08.2021 08:30,28.4,78
11.08.2021 05:30,27.8,80
11.08.2021 02:30,28,78
10.08.2021 23:30,27.8,78
10.08.2021 20:30,27.6,78
10.08.2021 17:30,30.4,68
10.08.2021 14:30,31.6,62
10.08.2021 11:30,30.6,70
10.08.2021 08:30,28.4,79
10.08.2021 05:30,28.2,80
10.08.2021 02:30,28,80
09.08.2021 23:30,28.6,76
09.08.2021 20:30,29,76
09.08.2021 17:30,30.6,72
09.08.2021 14:30,32.4,63
09.08.2021 11:30,30.6,72
09.08.2021 08:30,27.8,83
09.08.2021 05:30,27.4,84
09.08.2021 02:30,28,85
08.08.2021 23:30,28.6,79
08.08.2021 20:30,28.8,78
08.08.2021 17:30,31,67
08.08.2021 14:30,30.8,72
08.08.2021 11:30,29.8,75
08.08.2021 08:30,28.4,82
08.08.2021 05:30,27.4,89
08.08.2021 02:30,26.8,89
07.08.2021 23:30,28,85
07.08.2021 20:30,27.4,86
07.08.2021 17:30,30.6,72
07.08.2021 14:30,31.4,62
07.08.2021 11:30,31,69
07.08.2021 08:30,28.6,82
07.08.2021 05:30,28,82
07.08.2021 02:30,28,82
06.08.2021 23:30,28.2,80
06.08.2021 20:30,28.6,79
06.08.2021 17:30,30.4,72
06.08.2021 14:30,31.2,70
06.08.2021 11:30,30.8,70
06.08.2021 08:30,28.8,79
06.08.2021 05:30,28,82
06.08.2021 02:30,28.2,82
05.08.2021 23:30,28.2,80
05.08.2021 20:30,28.6,82
05.08.2021 17:30,29.8,73
05.08.2021 14:30,31.6,68
05.08.2021 11:30,30.8,68
05.08.2021 08:30,28.2,83
05.08.2021 05:30,28,81
05.08.2021 02:30,28.2,82
04.08.2021 23:30,27.6,86
04.08.2021 20:30,28.2,80
04.08.2021 17:30,27.6,84
04.08.2021 14:30,30,75
04.08.2021 11:30,29.4,75
04.08.2021 08:30,28.4,82
04.08.2021 05:30,27.6,80
04.08.2021 02:30,27.6,80
03.08.2021 23:30,27.8,83
03.08.2021 20:30,27.6,86
03.08.2021 17:30,27,90
03.08.2021 14:30,29.8,75
03.08.2021 11:30,29,76
03.08.2021 08:30,28,83
03.08.2021 05:30,27,87
03.08.2021 02:30,27.8,81
02.08.2021 23:30,27.2,87
02.08.2021 20:30,28.4,78
02.08.2021 17:30,29.4,74
02.08.2021 14:30,29.4,75
02.08.2021 11:30,29,76
02.08.2021 08:30,27.4,86
02.08.2021 05:30,26.6,87
02.08.2021 02:30,27.6,81
01.08.2021 23:30,28,82
01.08.2021 20:30,26.4,92
01.08.2021 17:30,28.2,79
01.08.2021 14:30,29.8,75
01.08.2021 11:30,30.4,72
01.08.2021 08:30,27.6,81
01.08.2021 05:30,27.4,81
01.08.2021 02:30,27.4,84
