,Date,T,U
0,01.02.2020,29.67,67.0
0,02.02.2020,30.33,69.0
0,03.02.2020,19.67,44.0
0,04.02.2020,30.0,69.0
0,05.02.2020,29.67,69.0
0,06.02.2020,29.67,69.0
0,07.02.2020,29.67,71.0
0,08.02.2020,30.0,70.0
0,09.02.2020,30.0,72.0
0,10.02.2020,30.0,74.0
0,11.02.2020,30.33,70.0
0,12.02.2020,31.0,67.0
0,13.02.2020,30.33,73.0
0,14.02.2020,30.67,70.0
0,15.02.2020,29.67,73.0
0,16.02.2020,30.67,66.0
0,17.02.2020,30.33,72.0
0,18.02.2020,29.67,69.0
0,19.02.2020,29.67,66.0
0,20.02.2020,29.33,67.0
0,21.02.2020,30.67,63.0
0,22.02.2020,30.33,68.0
0,23.02.2020,30.67,60.0
0,24.02.2020,30.67,62.0
0,25.02.2020,30.67,60.0
0,26.02.2020,30.0,65.0
0,27.02.2020,30.33,65.0
0,28.02.2020,31.0,60.0
0,29.02.2020,30.33,55.0
0,01.03.2020,31.0,55.0
0,02.03.2020,20.67,42.0
0,03.03.2020,30.0,74.0
0,04.03.2020,31.33,68.0
0,05.03.2020,28.33,76.0
0,06.03.2020,31.0,64.0
0,07.03.2020,30.67,66.0
0,08.03.2020,30.33,63.0
0,09.03.2020,30.67,66.0
0,10.03.2020,31.0,68.0
0,11.03.2020,31.0,67.0
0,12.03.2020,30.67,66.0
0,13.03.2020,31.67,56.0
0,14.03.2020,30.67,64.0
0,15.03.2020,30.67,64.0
0,16.03.2020,31.0,59.0
0,17.03.2020,31.33,67.0
0,18.03.2020,32.33,59.0
0,19.03.2020,31.33,60.0
0,20.03.2020,31.33,68.0
0,21.03.2020,31.33,67.0
0,22.03.2020,31.33,65.0
0,23.03.2020,31.0,68.0
0,24.03.2020,20.67,43.0
0,25.03.2020,31.67,68.0
0,26.03.2020,31.0,64.0
0,27.03.2020,31.67,57.0
0,28.03.2020,31.33,60.0
0,29.03.2020,31.33,67.0
0,30.03.2020,31.33,67.0
0,31.03.2020,31.33,67.0
0,01.04.2020,31.0,66.0
0,02.04.2020,31.0,64.0
0,03.04.2020,31.67,64.0
0,04.04.2020,31.67,64.0
0,05.04.2020,32.0,63.0
0,06.04.2020,31.0,67.0
0,07.04.2020,31.33,68.0
0,08.04.2020,32.0,61.0
0,09.04.2020,31.67,64.0
0,10.04.2020,21.33,42.0
0,11.04.2020,32.0,64.0
0,12.04.2020,31.67,64.0
0,13.04.2020,32.33,60.0
0,14.04.2020,32.0,63.0
0,15.04.2020,32.33,61.0
0,16.04.2020,32.67,57.0
0,17.04.2020,31.67,66.0
0,18.04.2020,32.67,64.0
0,19.04.2020,32.33,61.0
0,20.04.2020,31.33,70.0
0,21.04.2020,32.33,61.0
0,22.04.2020,32.0,63.0
0,24.04.2020,31.33,70.0
0,25.04.2020,32.33,65.0
0,26.04.2020,33.0,63.0
0,27.04.2020,32.33,64.0
0,28.04.2020,32.67,64.0
0,29.04.2020,30.0,70.0
0,30.04.2020,32.33,67.0
0,01.05.2020,32.0,66.0
0,02.05.2020,32.33,63.0
0,03.05.2020,32.33,64.0
0,04.05.2020,32.33,63.0
0,05.05.2020,32.33,68.0
0,06.05.2020,31.67,68.0
0,07.05.2020,31.67,69.0
0,08.05.2020,30.33,74.0
0,09.05.2020,31.0,74.0
0,10.05.2020,31.33,74.0
0,11.05.2020,30.67,77.0
0,12.05.2020,30.67,77.0
0,13.05.2020,29.67,78.0
0,14.05.2020,32.33,65.0
0,15.05.2020,31.67,70.0
0,16.05.2020,30.33,72.0
0,17.05.2020,20.0,53.0
0,18.05.2020,28.0,86.0
0,19.05.2020,31.0,73.0
0,20.05.2020,21.67,43.0
0,21.05.2020,27.67,86.0
0,22.05.2020,30.0,72.0
0,23.05.2020,31.67,75.0
0,24.05.2020,31.33,72.0
0,25.05.2020,31.33,72.0
0,26.05.2020,31.33,74.0
0,27.05.2020,31.33,71.0
0,28.05.2020,31.67,71.0
0,29.05.2020,30.67,74.0
0,30.05.2020,31.33,72.0
0,31.05.2020,31.67,72.0
0,01.06.2020,30.33,76.0
0,02.06.2020,27.33,89.0
0,03.06.2020,29.33,78.0
0,04.06.2020,30.33,81.0
0,05.06.2020,29.33,84.0
0,06.06.2020,29.0,81.0
0,07.06.2020,29.0,81.0
0,08.06.2020,30.33,71.0
0,09.06.2020,31.67,72.0
0,10.06.2020,30.67,73.0
0,11.06.2020,29.67,75.0
0,12.06.2020,31.0,72.0
0,13.06.2020,31.0,71.0
0,14.06.2020,30.33,71.0
0,15.06.2020,31.67,67.0
0,16.06.2020,20.33,47.0
0,17.06.2020,31.33,72.0
0,18.06.2020,30.33,69.0
0,19.06.2020,29.0,74.0
0,20.06.2020,30.67,74.0
0,21.06.2020,29.67,78.0
0,22.06.2020,30.0,71.0
0,23.06.2020,30.33,70.0
0,24.06.2020,31.33,69.0
0,25.06.2020,29.33,76.0
0,26.06.2020,27.67,79.0
0,27.06.2020,28.33,78.0
0,28.06.2020,28.33,84.0
0,29.06.2020,29.67,79.0
0,30.06.2020,30.0,67.0
0,01.07.2020,30.67,69.0
0,02.07.2020,20.33,47.0
0,03.07.2020,28.33,78.0
0,04.07.2020,29.33,76.0
0,05.07.2020,30.33,78.0
0,06.07.2020,29.67,76.0
0,07.07.2020,30.33,75.0
0,08.07.2020,30.0,70.0
0,09.07.2020,29.67,72.0
0,10.07.2020,30.0,66.0
0,11.07.2020,30.0,70.0
0,12.07.2020,29.67,70.0
0,13.07.2020,29.67,78.0
0,14.07.2020,30.67,70.0
0,15.07.2020,29.67,73.0
0,16.07.2020,28.0,77.0
0,17.07.2020,29.0,73.0
0,18.07.2020,30.33,70.0
0,19.07.2020,29.0,73.0
0,20.07.2020,28.67,81.0
0,21.07.2020,31.0,65.0
0,22.07.2020,30.0,78.0
0,23.07.2020,30.33,70.0
0,24.07.2020,28.67,79.0
0,25.07.2020,30.33,73.0
0,26.07.2020,28.33,84.0
0,27.07.2020,30.67,70.0
0,28.07.2020,30.0,72.0
0,29.07.2020,27.33,82.0
0,30.07.2020,28.33,76.0
0,31.07.2020,29.0,76.0
0,01.08.2020,28.67,78.0
0,02.08.2020,28.33,79.0
0,03.08.2020,28.67,81.0
0,04.08.2020,28.67,84.0
0,05.08.2020,30.0,79.0
0,06.08.2020,28.67,86.0
0,07.08.2020,27.0,87.0
0,08.08.2020,27.33,84.0
0,09.08.2020,26.0,92.0
