Date,T,U
11.08.2021 23:30,28.8,82
11.08.2021 20:30,29.4,83
11.08.2021 17:30,31,86
11.08.2021 14:30,35.4,54
11.08.2021 11:30,33.6,60
11.08.2021 08:30,30.8,67
11.08.2021 05:30,27.8,87
11.08.2021 02:30,28.6,92
10.08.2021 23:30,29.4,88
10.08.2021 20:30,30,81
10.08.2021 17:30,34.4,52
10.08.2021 14:30,34.2,52
10.08.2021 11:30,31.8,58
10.08.2021 08:30,28.4,76
10.08.2021 05:30,25,98
10.08.2021 02:30,22.4,98
09.08.2021 23:30,30,90
09.08.2021 20:30,30.4,78
09.08.2021 17:30,32.2,71
09.08.2021 14:30,34.6,61
09.08.2021 11:30,35.6,54
09.08.2021 08:30,31,72
09.08.2021 05:30,28.2,86
09.08.2021 02:30,29,86
08.08.2021 23:30,29.8,88
08.08.2021 20:30,30.4,77
08.08.2021 17:30,33,62
08.08.2021 14:30,34,62
08.08.2021 11:30,34,59
08.08.2021 08:30,30.4,76
08.08.2021 05:30,28,85
08.08.2021 02:30,28.6,80
07.08.2021 23:30,29.8,83
07.08.2021 20:30,30.6,74
07.08.2021 17:30,32.8,62
07.08.2021 14:30,35.6,50
07.08.2021 11:30,34.6,54
07.08.2021 08:30,29.8,72
07.08.2021 05:30,26.8,87
07.08.2021 02:30,27.8,80
06.08.2021 23:30,28.6,86
06.08.2021 20:30,28.6,95
06.08.2021 17:30,33,63
06.08.2021 14:30,35.6,50
06.08.2021 11:30,33.8,54
06.08.2021 08:30,30.4,67
06.08.2021 05:30,27,86
06.08.2021 02:30,26.8,90
05.08.2021 23:30,26.2,92
05.08.2021 20:30,31.4,72
05.08.2021 17:30,35.6,48
05.08.2021 14:30,35.6,46
05.08.2021 11:30,34,54
05.08.2021 08:30,30.8,64
05.08.2021 05:30,29,70
05.08.2021 02:30,30,67
04.08.2021 23:30,31,64
04.08.2021 20:30,31.4,63
04.08.2021 17:30,33.8,49
04.08.2021 14:30,35,49
04.08.2021 11:30,34.4,51
04.08.2021 08:30,31,61
04.08.2021 05:30,27.8,73
04.08.2021 02:30,27.8,90
03.08.2021 23:30,29.6,83
03.08.2021 20:30,31,72
03.08.2021 17:30,35.8,43
03.08.2021 14:30,35.6,47
03.08.2021 11:30,33.6,51
03.08.2021 08:30,30,61
03.08.2021 05:30,28,92
03.08.2021 02:30,28.6,89
02.08.2021 23:30,28.6,88
02.08.2021 20:30,28,83
02.08.2021 17:30,34.4,49
02.08.2021 14:30,35.4,46
02.08.2021 11:30,32.4,50
02.08.2021 08:30,30,60
02.08.2021 05:30,28,66
02.08.2021 02:30,28.6,80
01.08.2021 23:30,29,80
01.08.2021 20:30,30,72
01.08.2021 17:30,34.4,48
01.08.2021 14:30,34,49
01.08.2021 11:30,31.8,56
01.08.2021 08:30,27.6,80
01.08.2021 05:30,25.4,90
01.08.2021 02:30,25.4,93
31.07.2021 23:30,25.8,95
31.07.2021 20:30,31.6,67
